Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.1,333.57302072421277,1361.797387456029,1192.7202948707722,1033.0481691188902,1051.6197456972488,1082.1254999661917,22.0508701670644,23861.808904224144,-603.1171217119738,2549.70587403835,1946.5887523263762,7611.028472832197,9557.617225158572,9557.617225158572,67.45772122473736,30.699916802726168
0.11,334.2192378692827,1387.41629177996,1214.5488788926496,1051.9280602788763,1070.98567484157,1102.2626686217213,22.14971780569135,24414.807057719405,-605.2267275659342,2475.3475269588143,1870.1207993928801,7019.823097535751,8889.943896928631,8889.943896928631,61.915745248780425,30.71200119515419
0.12,334.8145472602877,1411.0392461030692,1234.6603119298823,1069.321793148587,1088.8312848293288,1120.8214575897803,22.24334372410426,24930.81693452103,-607.3569867079926,2409.4195839040362,1802.0625971960435,6527.036609242218,8329.099206438263,8329.099206438263,57.306661215628544,30.722893790906987
0.13,335.36749614918386,1433.0002928791725,1253.3427985301992,1085.4788406398056,1105.41158141745,1138.0652888825364,22.332436804783125,25415.771143686496,-609.5107914684634,2350.836072227406,1741.3252807589427,6107.747571062288,7849.072851821231,7849.072851821231,53.39424570663572,30.73277388346697
0.14,335.8842669283997,1453.5409830083727,1270.804792851031,1100.5796468689744,1120.9109984983875,1154.1849375823392,22.417550798031723,25873.999468575163,-611.6719777207619,2298.516948941365,1686.8449712206034,5746.562527742041,7433.407498962644,7433.407498962644,50.031350108803636,30.74177940172466
0.15,336.3695523894369,1472.8446481787053,1287.2045195461744,1114.761177521936,1135.4695270408508,1169.3252609564925,22.49911657180707,26308.785356618842,-613.8228118127029,2251.3084428187753,1637.4856310060725,5432.257401993856,7069.743032999928,7069.743032999928,47.110831019544975,30.750016966829413
0.16,336.82759369543425,1491.0773960234608,1302.6850201454622,1128.1472379179843,1149.2137847785234,1183.6174149179324,22.577533364093462,26723.161675631673,-615.9336550873883,2208.6387527458023,1592.7050976584142,5155.050868190423,6747.755965848837,6747.755965848837,44.540543974105944,30.75758238555811
0.17,337.261364513711,1508.355454655483,1317.3465602828132,1140.824620699479,1162.2324924290942,1197.1533609758767,22.653098701890666,27119.23324748668,-617.9775524441703,2169.6337443171265,1551.6561918729562,4909.012284900754,6460.66847677371,6460.66847677371,42.2636720079871,30.764547009569796
0.18,337.6736233173114,1524.7869038600588,1331.2821777424763,1152.8738509324253,1174.6080125485016,1210.0185066021943,22.72608444161852,27498.982756962607,-619.9236402196832,2133.776888810263,1513.8532485905796,4688.379761680224,6202.233010270804,6202.233010270804,40.226120959626996,30.77097530561201
0.19,338.06656485116076,1540.4577023974202,1344.5658924436998,1164.3589953404269,1186.405867760519,1222.2808646022922,22.796717623843854,27863.991727366178,-621.7397136267203,2100.5849081528363,1478.8451945261158,4489.1452682786285,5967.990462804744,5967.990462804744,38.38993920930242,30.77692069868521
