Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.13,43124.95888961738,1020.6752226062937,2.3188427902264195e-05,2.5907285029042375e-05,6.052464288059275e-05,1.837684169689596e-05,0.002774312349597283,0.06396865108052723,3.4826216660200593e-09,1.7302325535199607e-09,4.628556684250119e-10,166.7885291232958,174.9734670626175,75.38105187915836
0.14,43125.85896377525,1020.1561355676258,2.3187943939620482e-05,2.5898629917311985e-05,6.054760278952484e-05,1.8381534843286324e-05,0.0027192887494207063,0.06383523446156042,3.515868720587614e-09,1.7465943261895945e-09,4.713352134474549e-10,166.8393677757908,175.09297728258696,75.38564957021507
0.15,43126.91325304622,1019.654299122532,2.3187377082438564e-05,2.5890340235242274e-05,6.0569336349067585e-05,1.8386003509840157e-05,0.0026674909664217814,0.0637072893144433,3.5475494160394507e-09,1.7621848844406168e-09,4.795900795154449e-10,166.88791189499486,175.20618317990537,75.3900894767474
0.16,43128.10299705435,1019.1677752602368,2.318673742891729e-05,2.5882374864852867e-05,6.058998458954129e-05,1.839027279897174e-05,0.0026185344880659553,0.06358425776223085,3.5778386194508267e-09,1.7770903549774574e-09,4.876478069988167e-10,166.93441841288802,175.31381088642803,75.39438660480006
0.17,43129.41511461444,1018.695148681615,2.3186032023447243e-05,2.5874703115521412e-05,6.060965174777965e-05,1.8394361008849835e-05,0.002572121416135959,0.06346572450912959,3.6068635667975823e-09,1.791373406444795e-09,4.955276282738334e-10,166.97907668303355,175.41639786625916,75.39855103834552
0.18,43130.836806659885,1018.2351134238475,2.318526775825478e-05,2.586729697725089e-05,6.0628433707960465e-05,1.8398285210803755e-05,0.0025279904961639714,0.06335130800879364,3.6347431260026115e-09,1.8050925816613934e-09,5.032478442432404e-10,167.02206155064118,175.51443769591316,75.40259308014593
0.19,43132.35726076074,1017.7865942285789,2.3184450456867116e-05,2.586013305099976e-05,6.064641046408511e-05,1.8402059635434795e-05,0.0024859240060361902,0.06324069064945992,3.661576360837176e-09,1.818296668529572e-09,5.108233841591119e-10,167.06351874482297,175.60834203239216,75.40652132433084
0.2,43133.96761976268,1017.3487300629558,2.3183584891036786e-05,2.5853192388414354e-05,6.0663647098329454e-05,1.8405695782626438e-05,0.002445741392319838,0.06313361320768955,3.6874432257029344e-09,1.8310250441657726e-09,5.182658519515433e-10,167.10356629499137,175.69844587174828,75.41034248949379
0.21,43135.65898842394,1016.920712883017,2.3182675852207664e-05,2.5846457260465413e-05,6.068020490695172e-05,1.840920463146493e-05,0.002407280840869074,0.06302983293673292,3.7124201721177673e-09,1.8433153579378588e-09,5.255865014640738e-10,167.14231568282847,175.78506414454472,75.41406353655668
0.22,43137.42433807018,1016.5019371807246,2.318172712777076e-05,2.5839913925736032e-05,6.0696131727119524e-05,1.8412594610192836e-05,0.0023704103680082618,0.06292916073665994,3.736565741092815e-09,1.8551964400142594e-09,5.327932309944264e-10,167.17985295437867,175.86844276884523,75.41768938401758
0.23,43139.256729166664,1016.0918436825812,2.318074245641546e-05,2.5833549730392312e-05,6.071147208575546e-05,1.841587363965387e-05,0.002335011465416203,0.06283142101493026,3.759935000958629e-09,1.8666954091255954e-09,5.398934816700381e-10,167.21625821636943,175.94881029146524,75.42122494312724
0.24,43141.14987849105,1015.6899702762923,2.3179725223285518e-05,2.5827353916345044e-05,6.0726264259667786e-05,1.8419048497826985e-05,0.0023009820431705726,0.06273646400630717,3.782575031922714e-09,1.8778354500136973e-09,5.468932022787519e-10,167.2515997799742,176.0263630120136,75.4246743538404
0.25,43143.098226433925,1015.2959493839662,2.3178678423871203e-05,2.582131763786787e-05,6.0740540331157995e-05,1.8422124803138673e-05,0.0022682346824144913,0.06264416463310325,3.804524778485828e-09,1.8886357413797772e-09,5.537967961183051e-10,167.28593416096706,176.1012653768225,75.42804087943654
0.26,43145.09615794701,1014.9094377131397,2.3177605082606993e-05,2.5815432585082988e-05,6.075433078598947e-05,1.8425107949360728e-05,0.0022366896265963504,0.06255440469061566,3.82582167233072e-09,1.899114716001802e-09,5.606084643511324e-10,167.31931502273835,176.17367335437035,75.43132786289307
0.27,43147.138766728436,1014.5301861358537,2.3176507842302597e-05,2.5809692250735585e-05,6.076766024477074e-05,1.8428002198044325e-05,0.0022062796420883046,0.062467089801789534,3.8464951758728364e-09,1.9092868829228657e-09,5.673307747469764e-10,167.35178467265382,176.24371281233024,75.4345376819197
0.28,43149.22116794458,1014.1579679639214,2.3175389333397675e-05,2.580409063612412e-05,6.07805518207571e-05,1.843081157477263e-05,0.002176943368522701,0.06238213152298428,3.866573133439911e-09,1.9191659538903297e-09,5.739660307099913e-10,167.38338265283332,176.31150170302567,75.43767268996433
0.29,43151.33871537358,1013.7926034852543,2.3174252057300107e-05,2.579862263177118e-05,6.079302580108066e-05,1.843353958104609e-05,0.0021486267059284735,0.0622994531283397,3.886079719553857e-09,1.928763833483342e-09,5.805157666537276e-10,167.41414304861578,176.37714337346645,75.44073486564601
0.3,43153.4870629741,1013.4339595419079,2.3173098353342685e-05,2.5793284046741445e-05,6.080509957640944e-05,1.843618916901974e-05,0.0021212822003170324,0.06221898935133618,3.905035247422758e-09,1.93809052505355e-09,5.869807072558225e-10,167.44409433389362,176.44072626400842,75.4437257515934
0.31,43155.66181976577,1013.0819149126588,2.317193058413459e-05,2.5788070946794752e-05,6.081678979836609e-05,1.8438763188405575e-05,0.0020948659644107023,0.06214067786070312,3.923459343161261e-09,1.9471556931610543e-09,5.933614507539625e-10,167.47326364622685,176.50233487435764,75.44664693298797
0.32,43157.8589061653,1012.736394849089,2.3170750944207418e-05,2.5782980271712214e-05,6.082811032981195e-05,1.8441263945883333e-05,0.0020693399193964027,0.062064467490228016,3.941367805605158e-09,1.9559671179961184e-09,5.99657744196344e-10,167.50167266095994,176.56203938227148,75.44949951957753
0.33,43160.07424787794,1012.3973356445093,2.3169561624402608e-05,2.5778009211348172e-05,6.083907430242224e-05,1.844369363532994e-05,0.002044668830651715,0.06199030967523411,3.958775662290936e-09,1.9645321996746412e-09,6.058691810819007e-10,167.52934171506132,176.61990611833713,75.45228461501493
0.34,43162.30388207929,1012.0646959179847,2.3168364754857153e-05,2.5773155377376366e-05,6.08496935110749e-05,1.8446054204368088e-05,0.0020208209006361004,0.06191816109867979,3.975696218019118e-09,1.972857489915384e-09,6.11994962930935e-10,167.55628857300238,176.67599449875556,75.45500315165158
0.35000000000000003,43164.544009005906,1011.7384563660977,2.316716237732892e-05,2.5768416824413857e-05,6.085997833903213e-05,1.844834733442028e-05,0.0019977675129059544,0.061847983650038414,3.992140907727028e-09,1.980948619703254e-09,6.180338794176757e-10,167.58252829457592,176.73035668079007,75.45765585380755
0.36,43166.79080503761,1011.4186026355073,2.316595654554192e-05,2.5763791721905572e-05,6.086993883523094e-05,1.845057466671424e-05,0.0019754818492582443,0.06177974032310064,4.008120904905477e-09,1.9888110910009117e-09,6.239846623639922e-10,167.60807536945538,176.7830430251817,75.46024348803553
0.37,43169.040650048955,1011.1051401867322,2.3164749203173825e-05,2.57592786321188e-05,6.0879583722675974e-05,1.8452737588364686e-05,0.0019539397720630255,0.061713398835901254,4.023645596014831e-09,1.996449525817377e-09,6.298456553655552e-10,167.6329417852435,176.83409710807098,75.46276660669272
0.38,43171.28993807664,1010.7980787846095,2.316354228549493e-05,2.5754876231347406e-05,6.088892137291686e-05,1.845483743760825e-05,0.0019331186288603548,0.06164892794570926,4.038724039798874e-09,2.0038683845972836e-09,6.356151384370405e-10,167.6571389336268,176.88356065388228,75.46522577802558
0.39,43173.53516516748,1010.4974353358203,2.316233767224146e-05,2.5750583355200075e-05,6.0897959571035644e-05,1.845687545223069e-05,0.001912997346343664,0.061586298225733555,4.053364600560014e-09,2.0110717856653615e-09,6.412912590904101e-10,167.6806771919992,176.93147237149805,75.46762152011988
0.4,43175.772976215005,1010.2032337971746,2.3161137162521386e-05,2.5746399017721707e-05,6.090670543559537e-05,1.845885275098424e-05,0.001893556331205739,0.06152548215893582,4.067574813505053e-09,2.01806343898799e-09,6.46872022025124e-10,167.70356579123873,176.97786757438314,75.46995427293818
0.41000000000000003,43178.00001778101,1009.915498329566,2.3159942553805015e-05,2.574232226337006e-05,6.0915165966531813e-05,1.846077044859133e-05,0.001874776956522367,0.06146645247589172,4.081362203586315e-09,2.0248470492770723e-09,6.523554482196762e-10,167.72581383680674,177.02278092717003,75.47222452880285
0.42,43180.21315575897,1009.6342556454105,2.3158755525194288e-05,2.5738352246612592e-05,6.092334759673856e-05,1.846262956083284e-05,0.0018566416459815601,0.06140918304634442,4.094733610664435e-09,2.0314259837317233e-09,6.577394959910276e-10,167.74742958949295,177.06624425639484,75.47443271628129
0.43,43182.409290052354,1009.3595323667353,2.3157577736876377e-05,2.5734488158106868e-05,6.093125660216804e-05,1.8464431089088222e-05,0.0018391336680114475,0.06135364810091626,4.107695788570672e-09,2.0378035670480618e-09,6.630221413390554e-10,167.76842112353106,177.1082885669421,75.47657929631097
0.44,43184.58545951157,1009.0913520623795,2.3156410773875943e-05,2.573072918768762e-05,6.093889907238639e-05,1.8466176015228044e-05,0.001822236902589609,0.06129982181053529,4.1202553715932845e-09,2.043983064838725e-09,6.682014264198951e-10,167.78879640108914,177.1489439487321,75.47866475320416
0.45,43186.73888577899,1008.8297356831101,2.3155256122598578e-05,2.5727074549982133e-05,6.094628081019415e-05,1.846786527951189e-05,0.0018059358376895055,0.06124767853379407,4.13241871565683e-09,2.0499676054869084e-09,6.732754450528578e-10,167.80856309707127,177.1882390881558,75.48068956532524
0.46,43188.86681606369,1008.5747011808234,2.3154115255185616e-05,2.5723523438996104e-05,6.095340761476224e-05,1.8469499838531946e-05,0.0017902155307758856,0.06119719254705399,4.1441923096608804e-09,2.0557603827081794e-09,6.782423776376738e-10,167.82772901678098,177.22620264050823,75.48265427185193
0.47000000000000003,43190.966770757914,1008.3262581553134,2.3152989496800097e-05,2.5720074994997697e-05,6.096028510206712e-05,1.8471080630653135e-05,0.0017750612425163183,0.06114833737906394,4.155582533661161e-09,2.061364536372814e-09,6.831005683982365e-10,167.84630202870696,177.26286244516288,75.4845594292063
0.48,43193.03632383414,1008.0844134800033,2.315188014342476e-05,2.57167283523978e-05,6.09669188233091e-05,1.8472608596262408e-05,0.00176045878213673,0.06110108671791363,4.166595797559827e-09,2.0667832209608526e-09,6.87848444349039e-10,167.86429002086388,177.2982460153663,75.48640563324835
0.49,43195.07322887847,1007.8491648899708,2.315078839434495e-05,2.571348255611204e-05,6.097331433826196e-05,1.8474084696462103e-05,0.0017463940947415886,0.06105541331798296,4.177238678919975e-09,2.07201967328679e-09,6.924846350306483e-10,167.88170124074517,177.3323809870957,75.48819354007533
0.5,43197.075458100364,1007.6205021803303,2.3149715331306736e-05,2.5710336597555807e-05,6.097947709064305e-05,1.8475509885755994e-05,0.0017328533229184746,0.061011289394671445,4.1875177268949704e-09,2.0770771160150276e-09,6.970079445998832e-10,167.89854406044176,177.36529450200197,75.48992383130724
0.51,43199.041025417544,1007.3984104692463,2.3148662013390944e-05,2.5707289422471262e-05,6.098541257015509e-05,1.847688514321952e-05,0.00171982300026813,0.060968687044472454,4.1974396816040754e-09,2.0819588657570753e-09,7.014173141520176e-10,167.9148270957175,177.3970139428439,75.49159725023438
0.52,43200.96825623396,1007.1828613069682,2.3147629332490682e-05,2.5704339849051512e-05,6.099112623935375e-05,1.847821146230499e-05,0.00170728950112179,0.060927576912525025,4.207011407564873e-09,2.0866683001272767e-09,7.057119728481941e-10,167.9305594123419,177.42756671058865,75.49321458804795
0.53,43202.85554039632,1006.9738224637307,2.314661814576034e-05,2.570148667324382e-05,6.0996623527686186e-05,1.847948984295297e-05,0.001695239620795999,0.06088792983893615,4.216239830046465e-09,2.0912088266246873e-09,7.098912707326357e-10,167.9457501632986,177.45698005595702,75.49477667278505
0.54,43204.7014656812,1006.7712503814157,2.3145629204134883e-05,2.569872857088697e-05,6.100190993552646e-05,1.8480721317617313e-05,0.0016836601178080543,0.060849715553934126,4.22513212579883e-09,2.0955839763960033e-09,7.139548234677888e-10,167.9604090106166,177.4852816907625,75.49628439978022
0.55,43206.504849299345,1006.5750920632336,2.314466313551434e-05,2.5696064142116537e-05,6.100699089500521e-05,1.8481906920479262e-05,0.0016725378128790837,0.06081290316780173,4.233695501735664e-09,2.0997972953216787e-09,7.179024695751774e-10,167.97454584696854,177.5124990913973,75.49773869278454
0.56,43208.264554989306,1006.3852896095468,2.3143720542799002e-05,2.569349193738653e-05,6.101187189027315e-05,1.848304770936651e-05,0.0016618598466546855,0.06077746177835035,4.24193734788029e-09,2.1038524194172628e-09,7.217342040038422e-10,167.98817081293535,177.53866001464846,75.49914052953322
0.5700000000000001,43209.979754623026,1006.2017712561478,2.3142801863798844e-05,2.569101037408671e-05,6.101655839813526e-05,1.8484144758479886e-05,0.0016516131449480311,0.06074335913200648,4.249865191446432e-09,2.1077530520560393e-09,7.254503339007864e-10,168.00129452332706,177.5637923415379,75.50049093168721
0.58,43211.6496832339,1006.0244616961095,2.3141907502503877e-05,2.5688617848595404e-05,6.102105586131103e-05,1.8485199145881016e-05,0.0016417850019061963,0.06071056329067062,4.257486599958523e-09,2.1115029164805762e-09,7.290512943769244e-10,168.0139276604731,177.58792380206322,75.50179094825761
0.59,43213.273760983175,1005.8532753149908,2.314103776379215e-05,2.56863126497064e-05,6.102536977637417e-05,1.8486211975803615e-05,0.001632362680271835,0.06067904147006656,4.2648093450242324e-09,2.115105836307478e-09,7.325377789574145e-10,168.02608134404474,177.6110824970937,75.50304168196666
0.6,43214.85161604367,1005.6881184465407,2.3140192841220964e-05,2.5684093005677446e-05,6.102950555650155e-05,1.848718434795419e-05,0.001623333520871868,0.06064876054846548,4.27184118122056e-09,2.1185656267094563e-09,7.35910687512931e-10,168.03776684460922,177.63329620663018,75.5042442502978
0.61,43216.38291723121,1005.5288933934517,2.3139372906687212e-05,2.5681957105419896e-05,6.1033468648356765e-05,1.8488117379191565e-05,0.0016146851582327436,0.060619687543060685,4.278589997726804e-09,2.1218861691543605e-09,7.391710652801353e-10,168.04899561594664,177.65459289649434,75.5053998111712
0.62,43217.86759633976,1005.3754917062655,2.3138577991402164e-05,2.5679903042219933e-05,6.103726444427422e-05,1.848901218885816e-05,0.0016064051223409247,0.060591788664069404,4.2850637181124956e-09,2.125071361931827e-09,7.423202164625584e-10,168.0597794011626,177.67500039344282,75.50650954378567
