Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.38,343.839598045079,-83999.99999,-50178.334120781816,-46548.15351892029,-48158.46353453877,92.48881467194745,-4454119.208731696,-28842.85572607357,49256.23772326426,-1014.5840280322221,-2388.1391833970606,-3402.723211429283,3402.723211429283,18.465822053182105,83.66891381373091
0.39,344.02111173549906,-83999.99999,-50146.211237213494,-46534.45474042968,-48134.26841237341,92.53112581082794,-4453918.046277485,-28356.56591998244,48077.82989504276,-990.599296508799,-2312.3455275057213,-3302.9448240145202,3302.9448240145202,17.839418798567234,83.6888149880824
0.4,344.1964371016433,-83999.99999,-50115.17540869882,-46521.22258321386,-48110.75633680052,92.57228866733402,-4453722.823614067,-27853.54475952226,46899.294834860375,-966.5567847397955,-2238.2268587847766,-3204.783643524572,3204.783643524572,17.228291569276518,83.70828983898603
0.41000000000000003,344.3657277231289,-83999.99999,-50085.20027972158,-46508.445496276996,-48087.91898428252,92.61231377225504,-4453533.441627152,-27334.492008361405,45721.09030902793,-942.4774548329647,-2165.69125361712,-3108.1687084500845,3108.1687084500845,16.632134884137848,83.72733339529915
0.42,344.52912730312704,-83999.99999,-50056.261188885386,-46496.11267169125,-48065.748488696445,92.65121116891522,-4453349.813218182,-26800.24978149849,44543.139585407174,-918.3604024397785,-2094.6782390713984,-3013.038641511177,3013.038641511177,16.05012972312456,83.7459411604984
0.43,344.68677624306457,-83999.99999,-50028.33400841466,-46484.21354850852,-48044.23713352072,92.68899070000535,-4453171.848857754,-26251.77902056338,43366.1145608745,-894.2262965866183,-2025.1228580958125,-2919.3491546824307,2919.3491546824307,15.48196065338154,83.76410883784399
0.44,344.83881218075715,-83999.99999,-50001.39505155701,-46472.7377722347,-48023.37707018782,92.72566266661211,-4452999.462321751,-25690.146812079645,42190.84434929598,-870.0981226792682,-1956.9931717449183,-2827.0912944241863,2827.0912944241863,14.927381099387963,83.781832742109
0.45,344.9853674196147,-83999.99999,-49975.42153078912,-46461.67538896961,-48003.16050406349,92.76123745294868,-4452832.570009441,-25116.52049284477,41017.93185451297,-845.9884532228473,-1890.2548645885163,-2736.2433178113633,2736.2433178113633,14.385884620220969,83.79910980112982
0.46,345.12657423537394,-83999.99999,-49950.39061993663,-46451.01644493557,-47983.579468383665,92.79572582914955,-4452671.08464934,-24532.1493481953,39848.828910593285,-821.9362359004878,-1824.886774469152,-2646.8230103696396,2646.8230103696396,13.857589500653976,83.81593728140255
0.47000000000000003,345.2625620029611,-83999.99999,-49926.279965453934,-46440.75120342089,-47964.62560434197,92.82913952018764,-4452514.922259025,-23938.34638208347,38684.36948235727,-797.9576731884953,-1760.8818001993877,-2558.839473387883,2558.839473387883,13.342082723520653,83.83231352955451
