Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.1,39.458152213473305,1.0923974330884199,1.6643284978383773e-05,1.1105146420933002e-05,1.9286073140451972e-05,2.241021482997757e-05,1.794800624141669e-05,1.9114799560193093e-05,2.86335998892832e-05,39.63661934687523,33.778163044013226,29.21561052565146,29.96629093814556,0.026173165386280933
0.11,39.3809438957374,1.087267990394259,1.66734548507856e-05,1.1129416436445831e-05,1.931440144024164e-05,2.2444276988821173e-05,1.793917499047436e-05,1.9202889221289087e-05,2.8741064503069686e-05,39.67606573807464,33.782521331902366,29.21766967903915,29.97566771593588,0.026202919597425454
0.12,39.310089127353876,1.082458713189686,1.6701228302177325e-05,1.1151777956093267e-05,1.934047195577995e-05,2.2475625458320336e-05,1.7930015339677522e-05,1.9284823006711223e-05,2.8840868747540748e-05,39.71222751235559,33.786554326270014,29.219572546413037,29.984270969271414,0.026230187590128375
0.13,39.24451132436882,1.0779205110731256,1.6727007221933156e-05,1.1172550163485189e-05,1.9364663703122032e-05,2.2504715733609028e-05,1.7920650070323063e-05,1.9361582264987612e-05,2.893429069771498e-05,39.74566333810745,33.79031553211371,29.22134497436522,29.992231912204595,0.0262554240178426
0.14,39.18343140547257,1.0736164735923976,1.6751082184923258e-05,1.1191963764943731e-05,1.9387250743811652e-05,2.2531877173848692e-05,1.7911147700204747e-05,1.9433887249904675e-05,2.9022253930389734e-05,39.77677758680669,33.79384356993067,29.223005627777248,29.999645498504155,0.026278942961539424
0.15,39.12625812118625,1.0695181825713715,1.6773673634562306e-05,1.1210193758087148e-05,1.9408441001197136e-05,2.2557359654227787e-05,1.790155539142909e-05,1.950228678642564e-05,2.9105458628046554e-05,39.805877146917496,33.79716772000014,29.22456865988471,30.00658378539262,0.026300979331800183
0.16,39.07246229949083,1.0656002745918212,1.679498041099597e-05,1.122739834182812e-05,1.9428421879977036e-05,2.2581388411562732e-05,1.7891914781612716e-05,1.956728018214856e-05,2.9184540217117473e-05,39.83323596914609,33.800314784513425,29.226046972993718,30.013111224590993,0.02632174587953433
0.17,39.021670448983095,1.0618442470501366,1.6815141965432686e-05,1.1243688253397617e-05,1.9447324893773535e-05,2.2604121497001417e-05,1.788224731447408e-05,1.96292197529558e-05,2.9259941265648343e-05,39.85904779469346,33.80330333628678,29.22744953763756,30.019273323387484,0.02634138500533429
0.18,38.97353933114875,1.0582333578025036,1.6834287417763416e-05,1.1259166246726751e-05,1.9465271723941474e-05,2.2625705158063876e-05,1.7872575780604504e-05,1.9688432414121655e-05,2.9332073822625987e-05,39.88349022792715,33.80615081651979,29.228784744759885,30.025111878904312,0.02636003158205233
0.19,38.92779567040674,1.054754051583788,1.685251943645489e-05,1.1273913991281877e-05,1.9482359136731304e-05,2.264625569533212e-05,1.7862914671591038e-05,1.9745179817892664e-05,2.9401264408448775e-05,39.906704721356,33.80887106010457,29.230059254668586,30.030660169515162,0.02637778963239373
0.2,38.88421671214093,1.0513952897962715,1.6869921619380357e-05,1.1287997962374368e-05,1.949866593265991e-05,2.2665867815703186e-05,1.785327605429448e-05,1.979967459146023e-05,2.9467777782982074e-05,39.928806608546,33.81147530946942,29.2312784825759,30.03594532149289,0.026394743510790502
0.21,38.842598027693086,1.0481470126013201,1.6886571111515024e-05,1.1301479601355787e-05,1.9514264790610018e-05,2.2684628874295654e-05,1.784367128720022e-05,1.9852113895565e-05,2.9531859033350827e-05,39.94990154059514,33.81397404629871,29.23244746294403,30.040992219147096,0.02641097142021585
0.22,38.80278276926278,1.045001435926127,1.690252673893579e-05,1.131440567234274e-05,1.9529211164639416e-05,2.2702605518415347e-05,1.7834108046765117e-05,1.9902647684014514e-05,2.9593692744720975e-05,39.97007073194184,33.81637517223762,29.23357000297693,30.04581996110275,0.02642653111502249
0.23,38.764624824846365,1.0419514332302309,1.691784359684521e-05,1.1326820041586447e-05,1.9543556964576194e-05,2.271986013960907e-05,1.7824594902538216e-05,1.9951416365286906e-05,2.9653452187734145e-05,39.989389703798594,33.81868616235223,29.23464969436533,30.050446331727464,0.02644147777354382
0.24,38.72800223074506,1.038991054603411,1.693256757764424e-05,1.1338759223604542e-05,1.9557345438569418e-05,2.2736444717495364e-05,1.7815138547736033e-05,1.9998536897329737e-05,2.9711280355808593e-05,40.007921533667044,33.82091321877789,29.235689520347595,30.054886177076334,0.02645585627150087
0.25,38.69281174267112,1.0361153407812056,1.694673744982262e-05,1.1350254044210886e-05,1.9570613128834823e-05,2.27524031708326e-05,1.7805745562010004e-05,2.004410733846917e-05,2.9767296736889812e-05,40.02571964846155,33.82306156074214,29.236691994018265,30.0591520652575,0.026469704477280614
0.26,38.65895722144354,1.0333197312712312,1.6960389462554566e-05,1.1361333360181297e-05,1.958339418927315e-05,2.2767776549891435e-05,1.7796422482700812e-05,2.0088219553878545e-05,2.9821612978571427e-05,40.04283373069796,33.8251361057583,29.237659478194434,30.063255695916897,0.026483057955936005
0.27,38.62636140429946,1.0306006155131577,1.6973552546819963e-05,1.1372020153469612e-05,1.9595715897207022e-05,2.278259763722248e-05,1.7787175006878724e-05,2.013094607223408e-05,2.9874316123393954e-05,40.05930379116461,33.827140728186606,29.23859384108097,30.067206474550545,0.02649594433443655
