Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.21,43136.8554264811,1016.5939019134336,2.318203286060843e-05,2.5841284902825434e-05,6.069298055026967e-05,1.841191780465684e-05,0.0023784368646963144,0.06295107398326591,3.0532428031801424e-09,1.8528225862866489e-09,5.312361358403116e-10,167.17211780949557,175.85182012129448,75.41696308905985
0.22,43138.76441991858,1016.1656089598486,2.3181007000243782e-05,2.583463596379408e-05,6.070902187288975e-05,1.8415344466330828e-05,0.002341323235301942,0.06284882134117575,3.0732219276878742e-09,1.8648380667675736e-09,5.386395500828549e-10,167.21016382981378,175.93585914784947,75.42065250097072
0.23,43140.7388656148,1015.746467536014,2.317994606246874e-05,2.5828173536108112e-05,6.07244581056607e-05,1.841865604304235e-05,0.002305724240748483,0.06274964959673285,3.0925417941858115e-09,1.8764569499292006e-09,5.459301992110696e-10,167.24703317236782,176.0167903119016,75.42424657946711
0.24,43142.772062718475,1015.3360346891569,2.3178853657021798e-05,2.582188702739595e-05,6.073932761796506e-05,1.842185929788208e-05,0.0022715371678987298,0.06265340920993419,3.1112407964411124e-09,1.887702344425713e-09,5.531135189753173e-10,167.28279364376232,176.09481018189987,75.42774939646647
0.25,43144.85803268953,1014.9339627065522,2.3177733004529316e-05,2.581576776764531e-05,6.075366256039146e-05,1.842495982905856e-05,0.002238674019328691,0.06255997531711495,3.1293506406565214e-09,1.8985933341623674e-09,5.601933759083977e-10,167.3175011982909,176.17008334609025,75.43116414072148
0.26,43146.990733774466,1014.5399280626382,2.3176587358552982e-05,2.5809807621118168e-05,6.076749349669907e-05,1.8427963014088644e-05,0.0022070545256573076,0.06246922978404468,3.1469018200025847e-09,1.9091482719794884e-09,5.67173433652857e-10,167.35120896122694,176.242765956526,75.43449409014121
0.27,43149.16483564718,1014.1537010695752,2.317541958943923e-05,2.580400024646855e-05,6.0780845145328135e-05,1.843087310193445e-05,0.0021766108755456037,0.062381078056182364,3.1639183284165333e-09,1.9193815996371962e-09,5.74055715061969e-10,167.383958745764,176.3129841682726,75.43774155966136
0.28,43151.37502798419,1013.7750742253795,2.3174232555775752e-05,2.5798339808598268e-05,6.0793740724169697e-05,1.8433694108680022e-05,0.002147281170081638,0.06229543136455414,3.180422855283624e-09,1.9293069732160805e-09,5.808419787501978e-10,167.415789622963,176.38085625214347,75.44090884745053
0.29,43153.61624325277,1013.4038858665555,2.3173028984711187e-05,2.5792821342927464e-05,6.0806200668997756e-05,1.843642953660406e-05,0.0021190107021490873,0.062212212297102984,3.1964351482135863e-09,1.938936278172098e-09,5.875332273403367e-10,167.4467353156272,176.44648610115433,75.44399789010251
0.3,43155.8837266809,1013.0400196082169,2.317181143441063e-05,2.5787440785621896e-05,6.081824255349292e-05,1.8439082346949207e-05,0.0020917513334471694,0.06213135454420127,3.2119718448379357e-09,1.9482795283492105e-09,5.941296682422416e-10,167.4768240330102,176.50996288465132,75.44701019900975
0.31,43158.17267888014,1012.6833701960896,2.317058248597628e-05,2.578219431829595e-05,6.082988323942532e-05,1.844165540614324e-05,0.002065458501685564,0.06205279452855722,3.2270490667207493e-09,1.9573464265164977e-09,6.006313952452696e-10,167.50608271982958,176.5713719683204,75.44994734101633
0.32,43160.47864054365,1012.3338760254148,2.316934453689376e-05,2.5777078956618574e-05,6.0841136874896815e-05,1.844415105504058e-05,0.002040093267407143,0.061976479195485656,3.241679907144555e-09,1.9661448530678304e-09,6.070376943281942e-10,167.53453306996724,176.63078479828036,75.4528104286621
0.33,43162.797164028314,1011.9914856044593,2.3168099977389685e-05,2.577209195538046e-05,6.0852016897183827e-05,1.8446571527976078e-05,0.002015619545462746,0.061902357927632504,3.255876866677981e-09,1.974682331379986e-09,6.133477142705296e-10,167.56219550357258,176.68826907931972,75.45560057963911
