Position,x_CO2,x_MEA,x_H2O,x_CO2_true,x_MEA_true,x_H2O_true,x_MEAH_true,x_MEACOO_true,x_HCO3_true,x_CO3_true,x_H3O_true,x_OH_true
0.39,0.03273140650610836,0.10518605338265546,0.8620825401112361,7.851489127301206e-06,0.043573381532290976,0.8879859433723817,0.03460032629740781,0.030570883096756304,0.0024921748047603276,0.0007678296483205855,3.2985249764175235e-10,1.6094291024986886e-06
0.4,0.03250031511457707,0.10513898805377557,0.8623606968316474,7.682233663217425e-06,0.04394892864155413,0.8881189017808427,0.0343387303924379,0.03038233021108351,0.0024488233054546274,0.0007529740945853924,3.268247662403797e-10,1.629013553737347e-06
0.41000000000000003,0.032273463444677714,0.10509320960577757,0.8626333269495446,7.518207509359972e-06,0.0443184956630475,0.888247959645091,0.0340823704210333,0.030196362082567197,0.002406930202679356,0.0007387150053882968,3.238369034664456e-10,1.6484488470496093e-06
0.42,0.03205095675795661,0.1050487050121156,0.8629003382299278,7.359414812896759e-06,0.044681840518308175,0.8883731688206562,0.03383133072159173,0.03001313254492818,0.0023664691038133407,0.0007250308387467239,3.2089295606745155e-10,1.6677162497226687e-06
0.43,0.03183289799891308,0.10500546167803025,0.8631616403230566,7.205847072293421e-06,0.045038726550915925,0.8884945797068662,0.03358569421307676,0.029832791640456102,0.0023274137597466588,0.0007119011670013064,3.179967127803716e-10,1.6867968680902954e-06
0.44,0.03161938264507562,0.10496346684911541,0.8634171505058089,7.057478968868823e-06,0.04538893137383904,0.8886122435993519,0.03334553667064574,0.029655481310713046,0.002289737155398539,0.0006993064237545247,3.151515865322037e-10,1.7056721766929618e-06
0.45,0.03141049778450154,0.10492270797114528,0.8636667942443532,6.914267966682056e-06,0.045732248967628855,0.8887262125116709,0.03311092576171838,0.02948133453637746,0.00225341142265777,0.000687227895424327,3.123605697427441e-10,1.724324195065877e-06
0.46,0.03120632690555313,0.10488317225360579,0.8639105008408411,6.776164611513296e-06,0.04606848072924715,0.8888365379014536,0.03288192614028388,0.0293104792827886,0.00221840904189621,0.0006756476951329705,3.096264699345566e-10,1.7427349595942808e-06
0.47000000000000003,0.031006939141275818,0.10484484615473093,0.8641482147039933,6.643100597100384e-06,0.046397454581218314,0.8889432747599708,0.0326585876849009,0.029143029424814792,0.0021847008283525813,0.0006645484254912257,3.069515985374073e-10,1.7608877026739973e-06
0.48,0.030812399524452316,0.1048077161131866,0.864379884362361,6.515002431507695e-06,0.04671900711053308,0.889046477281028,0.03244095673579974,0.028979093276597593,0.00215225804916406,0.000653913474268165,3.0433807769192004e-10,1.7787658398362209e-06
