Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.12,39.32276806458441,1.0833721934945593,1.6696252364272953e-05,1.1147770268152482e-05,1.9335801656122768e-05,2.247000958396407e-05,1.7931668205342036e-05,1.9270069466126146e-05,2.882241251143664e-05,39.70575933458928,33.785830300026056,29.219231114129354,29.9827316119479,0.02622474972898419
0.13,39.25756168980534,1.0788763953582474,1.6721871388302333e-05,1.1168410524867522e-05,1.9359844576252202e-05,2.2498920722296724e-05,1.792250381773327e-05,1.9346231231345382e-05,2.8915084609817393e-05,39.73901192053716,33.7895648354324,29.220991384442925,29.99064775691418,0.02624981215979876
0.14,39.196820779749075,1.074612674077343,1.67457993843581e-05,1.1187702620352987e-05,1.938229490727016e-05,2.252591759904873e-05,1.7913200415602116e-05,1.941797632774515e-05,2.9002340318757452e-05,39.76995933865622,33.79306813369905,29.222640784365314,29.998020468628997,0.026273170285046506
0.15,39.1399566957746,1.070552711552454,1.676825580952252e-05,1.1205820768076896e-05,1.9403359643267377e-05,2.2551248972494488e-05,1.7903804609242536e-05,1.9485851326573097e-05,2.9084877024364398e-05,39.79890713319013,33.796369340788424,29.224193402691835,30.00492148752217,0.026295057922772938
0.16,39.08644250181253,1.0666712225410446,1.6789438645180103e-05,1.1222922480934192e-05,1.942322538116528e-05,2.257513910836604e-05,1.7894357500613282e-05,1.9550353568411766e-05,2.91633277308695e-05,39.826128109858985,33.79949513843079,29.225662084397513,30.011414994307398,0.02631568685290152
0.17,39.03590612018741,1.0629497449410923,1.6809486818675935e-05,1.1239118082482898e-05,1.944202314006867e-05,2.2597745463563814e-05,1.7884880103193964e-05,1.9611834281952986e-05,2.923813375887333e-05,39.851815278564096,33.80246403065894,29.227055766688615,30.017546324755273,0.026335198938755463
0.18,38.988005553986454,1.0593715638069987,1.6828528981859647e-05,1.1254509955156969e-05,1.945987416025604e-05,2.26192137554736e-05,1.787539473764018e-05,1.9670619438355105e-05,2.9309706072212725e-05,39.876145604931764,33.805293395188336,29.228382810025497,30.02335712552135,0.026353728534298803
0.19,38.9424684138944,1.0559231335096944,1.6846667477299277e-05,1.126917951192287e-05,1.9476874900083273e-05,2.2639659914723037e-05,1.786591546791688e-05,1.9726970112689765e-05,2.9378370610086073e-05,39.899260082553845,33.8079970247607,29.229649854211132,30.028880567541474,0.02637137933066257
0.2,38.89907259324427,1.0525934109776578,1.6863985671921624e-05,1.1283193048321085e-05,1.9493103941172524e-05,2.2659178385291708e-05,1.7856453922435155e-05,1.9781098621247757e-05,2.944439189541246e-05,39.92127370683224,33.81058613381551,29.230862300587184,30.034143698513034,0.026388235449458813
0.21,38.85761421757852,1.0493723256411231,1.6880560511674083e-05,1.1296611850457318e-05,1.9508633773907195e-05,2.2677856295868624e-05,1.7847021017065035e-05,1.983320188782445e-05,2.950801488215818e-05,39.94229184042729,33.81307117952024,29.232025171525166,30.03917133560028,0.02640437488809555
