Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.13,3.379560522192556e-05,2.872056008513135e-05,3.7544382607001865e-05,0.006555330671677157,1.769563949109164,0.055580042106236856,0.9144199578937631,228.6260837395458,104.52442241448173,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.14,3.407964823891924e-05,2.881893915467231e-05,3.7655698507011825e-05,0.0065613747324115455,1.779117970986303,0.05538871405099485,0.9146112859490051,228.7035732397071,104.80434769579269,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.15,3.435185679332474e-05,2.8912793400180953e-05,3.77620257809662e-05,0.006567136879430699,1.788240151828259,0.055205413501056275,0.9147945864989437,228.77768026183145,105.07059565481944,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.16,3.461356906164847e-05,2.9002636936441433e-05,3.7863939212485515e-05,0.006572648791052264,1.7969819291815055,0.055029224598569654,0.9149707754014303,228.84875839016559,105.32475757902341,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.17,3.4865759993449736e-05,2.90888515566765e-05,3.796186419821186e-05,0.006577933914917843,1.8053804034411967,0.05485945631668406,0.9151405436833159,228.91706946396562,105.56800067725767,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.18,3.510933335036629e-05,2.91717857916176e-05,3.805618945662223e-05,0.006583013800239682,1.8134698971461762,0.054695489748418626,0.9153045102515813,228.98285447963016,105.80139729595228,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.19,3.5345038218199873e-05,2.925172964364419e-05,3.814723779362627e-05,0.006587906454459689,1.8212784720126913,0.054536813037099174,0.9154631869629009,229.04631437689812,106.02583407654228,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.2,3.5573476368880126e-05,2.9328918364612067e-05,3.823527054724561e-05,0.0065926264450008555,1.8288287976348097,0.05438300861510188,0.915616991384898,229.10761228969656,106.24203048344921,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.21,3.579521800607254e-05,2.940357166103248e-05,3.832053187013742e-05,0.00659718750999228,1.836142114171501,0.054233695809116834,0.9157663041908831,229.16690185009483,106.45066010877117,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.22,3.601069598779362e-05,2.9475860216943858e-05,3.840321058388519e-05,0.006601600282079446,1.8432345937927406,0.0540885761214846,0.9159114238785153,229.22430218023996,106.65224415258346,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
