Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.19,0.411035143276583,-0.411035143276583,2.925172964364419e-05,73.68399038241601,4076.426903446679,5821.159085033971,1744.7321815872917,142.6246486578482,2906.112477173174
0.2,0.4080655494563661,-0.4080655494563661,2.9328918364612067e-05,73.70370986504287,3964.590290489595,5685.224375512059,1720.6340850224638,146.16887338183065,2923.621193334107
0.21,0.4051702765256476,-0.4051702765256476,2.940357166103248e-05,73.72278326253476,3855.838829375125,5551.379992808934,1695.541163433809,149.80830441862014,2940.622282766718
0.22,0.4023118210603588,-0.4023118210603588,2.9475860216943858e-05,73.74124889637771,3749.895986022858,5419.533917476587,1669.6379314537292,153.5405112369879,2957.147011523418
0.23,0.3994548578815001,-0.3994548578815001,2.9545941462985878e-05,73.75914241635566,3646.5114070653462,5289.605610412293,1643.0942033469462,157.3628560145307,2973.2242352543844
0.24,0.3965679707121519,-0.3965679707121519,2.961394945871211e-05,73.77649429777705,3545.4731485106586,5161.534353033602,1616.0612045229439,161.27254519421925,2988.8783045644122
0.25,0.3936238928949593,-0.3936238928949593,2.9679995263339372e-05,73.79332989900945,3446.6054935158922,5035.27684615258,1588.671352636688,165.2667315627699,3004.129209979942
0.26,0.39059671742405705,-0.39059671742405705,2.9744183286042822e-05,73.80967331765959,3349.749494480945,4910.797157344378,1561.0476628634335,169.34223013017,3018.9957139255594
0.27,0.3874646051513662,-0.3874646051513662,2.9806596320388602e-05,73.82554376568343,3254.779777167564,4788.076872215487,1533.297095047923,173.4957080678743,3033.4923965296716
0.28,0.3842073352999585,-0.3842073352999585,2.9867311091578693e-05,73.840959284494,3161.585427122427,4667.10314121932,1505.5177140968924,177.72354690461145,3047.6327464158976
0.29,0.38080712494921737,-0.38080712494921737,2.9926393666479685e-05,73.85593559993943,3070.075295922274,4547.873052907147,1477.797756984873,182.0218225652201,3061.4281880112076
