Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.11,3.2581555352449735e-05,2.8501823525473608e-05,3.730028705443197e-05,0.006540358916095869,1.746571794115316,0.05713294324894228,0.9128670567510577,228.4379563639696,103.91318251911028,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.12,3.288490077183012e-05,2.8609759743630854e-05,3.742207628587829e-05,0.006547001273164298,1.7570375999003505,0.0569214925853038,0.9130785074146962,228.52226152983116,104.22258174567786,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.13,3.3173504664988004e-05,2.8711944925649062e-05,3.7537502157558065e-05,0.006553287021801835,1.76694826303193,0.0567204825256479,0.9132795174743521,228.602367321427,104.51450114091269,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.14,3.34491767036874e-05,2.8809094304368647e-05,3.764736500632024e-05,0.006559259782453614,1.7763758170786146,0.05652859084137822,0.9134714091586218,228.6787598029602,104.79116100771098,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.15,3.371331479384024e-05,2.890176373770779e-05,3.7752285914563245e-05,0.006564953403569274,1.785375679608311,0.05634478210307309,0.9136552178969268,228.75181735735973,105.05427832835566,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.16,3.396723220955044e-05,2.8990465561340756e-05,3.7852837754137434e-05,0.006570399456407555,1.7939990918362636,0.056168127561932756,0.9138318724380672,228.82189214692247,105.30543807187286,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.17,3.4211888124358176e-05,2.9075580889686083e-05,3.7949445288174726e-05,0.006575621349727355,1.8022830903747358,0.055997925215397294,0.9140020747846027,228.8892454444236,105.54580463180935,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.18,3.4448172377711876e-05,2.9157457923672375e-05,3.804249699243594e-05,0.006580640612914464,1.8102619612318016,0.05583354559046196,0.914166454409538,228.95411788378888,105.77644847726914,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.19,3.467682387720676e-05,2.9236386783879728e-05,3.8132315957530674e-05,0.006585475258622862,1.8179637841439285,0.05567446711206598,0.914325532887934,229.0167103651709,105.99825575552268,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.2,3.4898438065114006e-05,2.931260334090175e-05,3.8219164393439875e-05,0.006590139890806285,1.8254112993171325,0.05552026319158994,0.91447973680841,229.07718633975318,106.2119468981715,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
