Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.21,0.3939161387041257,-0.3939161387041257,2.9386328043251718e-05,73.7127455896946,3934.498581881675,5633.804419537346,1699.305837655671,142.07918165438446,2931.921617306245
0.22,0.3912218310475636,-0.3912218310475636,2.9457732704103593e-05,73.73097649900598,3830.093407532374,5505.0163717820205,1674.9229642496464,145.49279988814453,2948.1993026998275
0.23,0.388552769197069,-0.388552769197069,2.952697600012521e-05,73.74865045652376,3728.229178089803,5378.069310148842,1649.840132059039,148.99024040140162,2964.040877759523
0.24,0.38587897121937204,-0.38587897121937204,2.959419338367761e-05,73.76579817460683,3628.692059873535,5252.896691274285,1624.20463140075,152.56916771236178,2979.4710704173795
0.25,0.3831743678404236,-0.3831743678404236,2.9659497453205962e-05,73.78244527145166,3531.3035243323293,5129.448993768016,1598.1454694356873,156.22725280167086,2994.5102816328126
0.26,0.3804140713705304,-0.3804140713705304,2.9722994182584572e-05,73.79861609243669,3435.9010693987448,5007.683932319361,1571.7828629206158,159.96188537782507,3009.177685504596
0.27,0.37757699398594796,-0.37757699398594796,2.9784767984460427e-05,73.81433009823895,3342.355067941381,4887.576408863891,1545.2213409225096,163.77037624917602,3023.4882898127744
0.28,0.3746434388137789,-0.3746434388137789,2.9844897210685332e-05,73.82960556420453,3250.5497638657844,4769.106850997028,1518.5570871312439,167.64980315416892,3037.4560078935415
0.29,0.3715958890230636,-0.3715958890230636,2.9903449507639012e-05,73.84445842384676,3160.38869319469,4652.265558749114,1491.8768655544238,171.59699985103111,3051.0926779761344
0.3,0.36841922197269406,-0.36841922197269406,2.9960481670431328e-05,73.85890222846612,3071.7938077172266,4537.051556636657,1465.2577489194302,175.60861969360894,3064.4080780346926
0.31,0.3650995007978995,-0.3650995007978995,3.001604735808161e-05,73.87294997705914,2984.696500771443,4423.467473521142,1438.770972749699,179.68101941783155,3077.411418119113
0.32,0.3616252786709034,-0.3616252786709034,3.0070189841127053e-05,73.88661235411676,2899.0453457087224,4311.524624153826,1412.4792784451035,183.81034195899943,3090.1098995025345
0.33,0.35798649428396256,-0.35798649428396256,3.012294941539989e-05,73.89989950742046,2814.797106385219,4201.236989664712,1386.439883279493,187.9924700224486,3102.5102030073895
0.34,0.3541748856339967,-0.3541748856339967,3.0174361267810104e-05,73.91282051102775,2731.9190148120397,4092.623187871023,1360.7041730589833,192.2230223099115,3114.618033382186
0.35000000000000003,0.3501841374612229,-0.3501841374612229,3.0224455302497812e-05,73.92538331970586,2650.388188972194,3985.7057020163775,1335.3175130441837,196.4974092530255,3126.4381145452603
0.36,0.3460092758587577,-0.3460092758587577,3.027325997620608e-05,73.9375956742958,2570.1873362514825,3880.508531196827,1310.3211949453446,200.81076542667637,3137.9749273345847
0.37,0.3416473424639191,-0.3416473424639191,3.0320798913790176e-05,73.94946427747848,2491.3077392745477,3777.058717279879,1285.7509780053315,205.15805156145134,3149.2320545311622
0.38,0.33709682512251454,-0.33709682512251454,3.0367094330642174e-05,73.96099560609473,2413.745362712162,3675.384200808984,1261.6388380968222,209.5339976516304,3160.212854286514
0.39,0.3323578407488751,-0.3323578407488751,3.0412166313117937e-05,73.97219572331728,2337.5011958492246,3575.513863805685,1238.0126679564605,213.93315341737488,3170.9203149351797
0.4,0.32743219581201577,-0.32743219581201577,3.0456032638347406e-05,73.98307022837992,2262.580789166501,3477.4769480790696,1214.8961589125686,218.3499485632676,3181.3570410003804
0.41000000000000003,0.3223230376782318,-0.3223230376782318,3.049871057724971e-05,73.99362467224866,2188.992585876742,3381.3028172904746,1192.3102314137327,222.778608055812,3191.52557665714
0.42,0.3170351288327498,-0.3170351288327498,3.0540215684240605e-05,74.00386426096178,2116.7479076687455,3287.019579645504,1170.2716719767586,227.2133447389552,3201.428216069492
0.43,0.3115745446624906,-0.3115745446624906,3.058056296286443e-05,74.01379411964311,2045.860276258537,3194.655053056643,1148.7947767981059,231.64822660360085,3211.0671916381107
0.44,0.30594865906001134,-0.30594865906001134,3.061976701142433e-05,74.02341931703086,1976.3444057191653,3104.2352434590803,1127.890837739915,236.07730033546454,3220.444727557894
0.45,0.3001661217445877,-0.3001661217445877,3.065784178649461e-05,74.03274479977185,1908.2158792046748,3015.7839512732276,1107.5680720685527,240.49465599510137,3229.5630090829764
0.46,0.29423664787332815,-0.29423664787332815,3.069480127486112e-05,74.04177553776208,1841.4911860138484,2929.32418649882,1087.8330004849715,244.8942917050792,3238.4242634437746
0.47000000000000003,0.28817098068349356,-0.28817098068349356,3.073065949342865e-05,74.05051651890186,1776.1857655978633,2844.8746590166875,1068.6888934188241,249.2704125606302,3247.030841502449
0.48,0.2819807829533099,-0.2819807829533099,3.0765430361079816e-05,74.05897270426401,1712.3154968713845,2762.453068132834,1050.1375712614492,253.61719878227862,3255.3851153097926
0.49,0.2756784538292117,-0.2756784538292117,3.079912831933497e-05,74.06714916855566,1649.8948493267055,2682.0735427091568,1032.1786933824512,257.92899250020855,3263.489644878617
0.5,0.26927705387485096,-0.26927705387485096,3.083176801609912e-05,74.07505101637213,1588.9367515648387,2603.7464705245357,1014.809718959697,262.2003576853162,3271.3471267298096
0.51,0.2627902082947696,-0.2627902082947696,3.0863364386483924e-05,74.08268339159554,1529.4537058280598,2527.4809881674514,998.0272823393915,266.4258905146499,3278.960343999058
0.52,0.25623184064132676,-0.25623184064132676,3.0893933198415174e-05,74.09005160150474,1471.4548312720221,2453.2803650194537,981.8255337474317,270.6005911695714,3286.3323732375634
0.53,0.2496162394265987,-0.2496162394265987,3.0923490307666384e-05,74.09716093213049,1414.9486016046847,2381.1465846627825,966.1979830580979,274.71955163047187,3293.466340434231
0.54,0.24295776826709561,-0.24295776826709561,3.09520524329949e-05,74.1040168267954,1359.94068684153,2311.077399150325,951.1367123087952,278.7781730879825,3300.365626098987
0.55,0.23627078587640776,-0.23627078587640776,3.097963678027932e-05,74.11062479146385,1306.434025601633,2243.0663797285147,936.6323541268815,282.7722104699291,3307.033797502084
0.56,0.22956965538881563,-0.22956965538881563,3.100626089470176e-05,74.11699035712562,1254.430441487741,2177.1057988935777,922.6753574058367,286.69755035958013,3313.4745103124833
0.5700000000000001,0.22286836539160598,-0.22286836539160598,3.1031943284924375e-05,74.12311922126715,1203.9275538593195,2113.181982664544,909.2544288052247,290.55059367628024,3319.6917296555293
0.58,0.21618073318709294,-0.21618073318709294,3.105670256085181e-05,74.12901704449034,1154.9218706734316,2051.280072322783,896.3582016493513,294.3279128687622,3325.6894625534796
0.59,0.2095200948568514,-0.2095200948568514,3.108055812408276e-05,74.13468960990208,1107.4067985270249,1991.3813032191445,883.9745046921196,298.0264596477617,3331.4719429146808
0.6,0.2028992590452919,-0.2028992590452919,3.110352977939903e-05,74.14014272929602,1061.3728723865456,1933.4632207542236,872.0903483676781,301.6435886560425,3337.0435576862474
