Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.1,43124.07051153636,1022.3840204882048,2.3188905595831555e-05,2.5936617291732402e-05,6.0444197251151433e-05,1.8360633493910846e-05,0.0032634561719824613,0.06441495189127747,3.0618181772460914e-09,1.673820462264113e-09,4.071517873773774e-10,166.6147510167708,174.55571075678102,75.36571092088732
0.11,43124.33807758534,1021.8014483296809,2.3188761719678854e-05,2.592659098578769e-05,6.047184500318342e-05,1.8366170789673714e-05,0.003189098482945584,0.06426164998628707,3.0973893287177905e-09,1.693078309489039e-09,4.1585906881798594e-10,166.67420534031638,174.69932267379383,75.370855598659
0.12,43124.83614704931,1021.2442454005545,2.3188493901522266e-05,2.5917102056432e-05,6.049767372637568e-05,1.8371379933068836e-05,0.0031201583980748683,0.06411614167781639,3.130880916372992e-09,1.7112096957694125e-09,4.242502309130997e-10,166.73029605680392,174.83357350021103,75.37578754335068
0.13,43125.5320063536,1020.7090346206694,2.3188119739663082e-05,2.5908079599649338e-05,6.052193051175141e-05,1.837630413510663e-05,0.003055855443138308,0.06397745856810241,3.1625661795268834e-09,1.7283626846558977e-09,4.3236927082892486e-10,166.78346735026446,174.95973728584306,75.38052959040054
0.14,43126.400421316284,1020.1931401694545,2.3187652811982087e-05,2.5899466612717964e-05,6.054481119629822e-05,1.8380977731132473e-05,0.002995574682811455,0.06384483085491521,3.1926622974894174e-09,1.744654953888513e-09,4.402510026130909e-10,166.83407313337116,175.07882380147197,75.38510026211969
0.15,43127.422487912365,1019.6944871418219,2.3187103293276503e-05,2.5891218693394818e-05,6.056646750740604e-05,1.8385427223828953e-05,0.0029388320134301157,0.06371765650825041,3.2213367818752363e-09,1.7601772680767468e-09,4.4792191868827783e-10,166.8823879189562,175.1916158636227,75.38951354589162
0.16,43128.57941921096,1019.211140584182,2.3186481295383577e-05,2.5883294759861057e-05,6.0587040370856114e-05,1.8389677693857967e-05,0.00288520546906303,0.0635953787162722,3.2487484679860406e-09,1.7750156810279356e-09,4.554077643135916e-10,166.92866836842643,175.29883904854205,75.3937844219491
0.17,43129.85812068731,1018.7416855849751,2.3185793869336848e-05,2.5875664122835443e-05,6.0606634007341875e-05,1.839374743812811e-05,0.002834368029591138,0.06347758256735177,3.275013022917324e-09,1.7892328603549862e-09,4.627265509750501e-10,166.9731037891321,175.40103072681111,75.3979229754515
0.18,43131.24578665441,1018.2848159419441,2.3185047910427344e-05,2.5868298763412786e-05,6.0625344308316826e-05,1.8397653530928345e-05,0.0027860328166346786,0.06336388672761747,3.30023853275965e-09,1.8028873620875354e-09,4.698954241070673e-10,167.01586903660595,175.49868450742875,75.4019395130306
0.19,43132.73161152344,1017.8394548087674,2.3184249238062115e-05,2.5861175256855396e-05,6.0643251309943764e-05,1.8401410213918524e-05,0.002739960661329498,0.06325397347515832,3.324515132239672e-09,1.8160280156972898e-09,4.769283937225828e-10,167.05710994941373,175.59221226718262,75.40584264298842
0.2,43134.30675449501,1017.4047382573777,2.3183402614805913e-05,2.5854274611644358e-05,6.0660420175243684e-05,1.8405029007150876e-05,0.0026959531373652486,0.06314758318299946,3.3479156432609505e-09,1.8286942719769745e-09,4.838363795503182e-10,167.09694477022606,175.68194942604626,75.40963911018247
0.21,43135.96234346184,1016.9798549493869,2.318251281929661e-05,2.5847579050267423e-05,6.067691228973782e-05,1.8408520911435342e-05,0.0026538323538864064,0.06304447262657523,3.3705097129734756e-09,1.8409238592111393e-09,4.906299787593746e-10,167.13548522006064,175.76821138649268,75.41333590270011
0.22,43137.69138766575,1016.5641946567107,2.3181583618216702e-05,2.5841074765488975e-05,6.0692775611585836e-05,1.8411894384881918e-05,0.0026134531169722947,0.06294445193786773,3.392350759880317e-09,1.8527457155041489e-09,4.973166736110831e-10,167.17281768214514,175.8512447091713,75.41693797810873
0.23,43139.48698984827,1016.1571930233714,2.3180618727230652e-05,2.5834749032865145e-05,6.070805479720719e-05,1.841515738004847e-05,0.0025746850104290332,0.06284734471187785,3.4134890574206063e-09,1.864187073974059e-09,5.039035252685189e-10,167.20902262511706,175.93127863012137,75.42045028870773
0.24,43141.34292090113,1015.7583820265556,2.317962150212806e-05,2.5828591014040724e-05,6.072278826617132e-05,1.841831671017746e-05,0.0025374156135291007,0.06275300023359416,3.433967640623113e-09,1.875271246474694e-09,5.103962136892073e-10,167.24416877094362,176.00851021279684,75.42387702067487
0.25,43143.25368513243,1015.3673874103735,2.317859490381017e-05,2.5822591774301245e-05,6.073700825629747e-05,1.8421378032483018e-05,0.0025015485947506174,0.06266129236116179,3.453822171886434e-09,1.8860175515189523e-09,5.167989880016623e-10,167.27831309176548,176.0831047381156,75.42722148894363
0.26,43145.213736002734,1014.9838589401319,2.3177541919685638e-05,2.5816742911715986e-05,6.075074541173859e-05,1.8424346780240566e-05,0.0024669960316782103,0.0625721018218816,3.4730869430740303e-09,1.8964445642707812e-09,5.231159145403354e-10,167.31150972011625,176.15521902678083,75.43048708895574
0.27,43147.21824979472,1014.6075397036923,2.3176465148011196e-05,2.5811037818205985e-05,6.076402451927726e-05,1.8427227257185565e-05,0.002433683733752956,0.06248533305510388,3.491789019517739e-09,1.906566946036535e-09,5.293495484604746e-10,167.3438014736251,176.22497984598934,75.43367625562949
0.28,43149.26242739943,1014.2381950298621,2.3175367173020508e-05,2.580547039235413e-05,6.0776868859608815e-05,1.8430023531522195e-05,0.002401543965988935,0.062400896451616034,3.509953998583963e-09,1.9163985624674793e-09,5.355022038000982e-10,167.3752284123176,176.29250605606555,75.43679140032394
0.29,43151.341718106574,1013.8756367767281,2.31742504446946e-05,2.5800035417736097e-05,6.078929888715307e-05,1.843273914788523e-05,0.00237051696307943,0.06231871409222199,3.52760414533012e-09,1.925951474144228e-09,5.415754856447366e-10,167.4058251546169,176.357901916484,75.43983456092568
0.3,43153.451879118256,1013.519723010568,2.317311724682435e-05,2.5794728593960786e-05,6.080133215779257e-05,1.843537710165856e-05,0.002340550264945247,0.06223871951280769,3.5447582156652316e-09,1.935235841037351e-09,5.475702508047214e-10,167.43562071564799,176.42125677351456,75.44280734029374
0.31,43155.588625837176,1013.1703236296314,2.3171969884829742e-05,2.578954587664093e-05,6.0812985486018954e-05,1.8437940285375508e-05,0.002311595338694373,0.06216084922318524,3.561434338402322e-09,1.9442614829950424e-09,5.53487242746186e-10,167.46464277336716,176.4826560226802,75.44571138340008
0.32,43157.74799468341,1012.8273547707543,2.317081049092714e-05,2.578448409500223e-05,6.082427288755264e-05,1.844043104696028e-05,0.0022836100458437265,0.062085050920483546,3.5776471533653697e-09,1.9530363302752817e-09,5.593264159683658e-10,167.49291353654095,176.5421706910507,75.4485478588289
0.33,43159.9260288557,1012.4907435948035,2.316964119288397e-05,2.5779540328959118e-05,6.083520764323485e-05,1.844285162078968e-05,0.0022565553870554887,0.06201127495530586,3.5934105944843453e-09,1.9615679305167178e-09,5.650875849866392e-10,167.5204538692872,176.59986794061842,75.45131792821428
0.34,43162.11888854621,1012.1604396246638,2.3168464054839686e-05,2.577471208258848e-05,6.084580168410335e-05,1.844520399240484e-05,0.0022303961611822424,0.06193947699339594,3.608737013101509e-09,1.969862974050667e-09,5.707702000269689e-10,167.54728204228925,176.6558079550568,75.45402257914785
0.35000000000000003,43164.3228995435,1011.8364145948333,2.3167281051235392e-05,2.5769997306492073e-05,6.0856065516996804e-05,1.844748987857783e-05,0.0022051006900862253,0.06186961798808496,3.6236370441976324e-09,1.9779272215560877e-09,5.763733269208943e-10,167.57341359726524,176.71004359575784,75.45666258843417
0.36,43166.534365161235,1011.5186453015019,2.316609416777915e-05,2.5765394068359776e-05,6.086600930646851e-05,1.8449710954091784e-05,0.002180639287653541,0.061801660061541315,3.6381210734317096e-09,1.985766298391397e-09,5.818959781654822e-10,167.59886348915157,176.7626258876938,75.4592387727658
0.37,43168.749793270654,1011.207128835184,2.3164905279603085e-05,2.57609008372769e-05,6.0875641866860405e-05,1.8451868634397667e-05,0.0021569852618428882,0.061735570203541985,3.652197828078534e-09,1.9933849316638947e-09,5.873367973292523e-10,167.62364411782426,176.81359894671832,75.46175172866255
0.38,43170.96570501362,1010.9018667690827,2.316371625395134e-05,2.575651619916042e-05,6.088497165444565e-05,1.8453964284460746e-05,0.0021341135683839935,0.06167131650526603,3.6658757269315904e-09,2.0007876812070564e-09,5.926943677726225e-10,167.64776727012534,176.86300500280038,75.46420206628682
