Position,Nl_H2O,Nv_H2O,kv_H2O,a_eA,DF_H2O,fv_H2O,fl_H2O,P_sat_H2O
0.16,-1.7492634914915237,1.7492634914915237,3.787748498114602e-05,73.63038533630541,-627.2158493871175,21203.520745527636,21830.736594914753,24702.530357028594
0.17,-1.6993863176553405,1.6993863176553405,3.797688829804957e-05,73.65270186097474,-607.5528424234362,21630.043145685082,22237.59598810852,25155.491605097253
0.18,-1.6537674009331749,1.6537674009331749,3.8072638788418405e-05,73.67418835405758,-589.5845417674391,22042.483171353266,22632.067713120705,25594.432597673596
0.19,-1.6117431975023162,1.6117431975023162,3.816505856618794e-05,73.69490940743133,-573.0498767117715,22442.03415261406,23015.08402932583,26020.41333989179
0.2,-1.5726822595575105,1.5726822595575105,3.825440762387879e-05,73.71491732780464,-557.7044679496139,22829.664159789158,23387.36862773877,26434.258328062213
0.21,-1.53618074789869,1.53618074789869,3.834092860483092e-05,73.73426135565046,-543.3883922865898,23206.258903665424,23749.647295952014,26836.79332850076
0.22,-1.501777211657819,1.501777211657819,3.842480831595823e-05,73.75297953840045,-529.9247825199527,23572.50789951965,24102.4326820396,27228.60405584758
0.23,-1.4691492560283743,1.4691492560283743,3.85062187430939e-05,73.77110724611673,-517.1883624399743,23929.03484040522,24446.223202845194,27610.259475109844
0.24,-1.4380122245138556,1.4380122245138556,3.858530531330951e-05,73.78867465802885,-505.0692485638174,24276.36372671349,24781.43297527731,27982.233393653845
0.25,-1.4080839584708191,1.4080839584708191,3.866218736640784e-05,73.80570682309819,-493.4602630285808,24614.923324399733,25108.383587428314,28344.89532846816
0.26,-1.3791822812610617,1.3791822812610617,3.8736976795957545e-05,73.82222754899408,-482.2906026858509,24945.106953035254,25427.397555721105,28698.615349060303
0.27,-1.351092806274524,1.351092806274524,3.8809760958418945e-05,73.83825577487859,-471.479467893907,25267.220807852413,25738.70027574632,29043.654315425127
0.28,-1.3236645329527206,1.3236645329527206,3.8880620415373475e-05,73.85380929298427,-460.96913279070213,25581.541323332,26042.5104561227,29380.265207549564
0.29,-1.2967642625522886,1.2967642625522886,3.89496237123944e-05,73.86890362413938,-450.7088789659101,25888.29956772062,26339.00844668653,29708.657736819485
0.3,-1.270257734387773,1.270257734387773,3.901682727627278e-05,73.88355198283708,-440.64833221287336,26187.682675410408,26628.33100762328,30028.992506074974
0.31,-1.2440627884213276,1.2440627884213276,3.908228410733983e-05,73.89776709201212,-430.7557134812341,26479.86150453272,26910.617218013955,30341.432438467986
0.32,-1.218079609791283,1.218079609791283,3.91460358958775e-05,73.91155950583645,-420.99362308398486,26764.967496394893,27185.961119478878,30646.089794549032
0.33,-1.1922429889713966,1.1922429889713966,3.9208121114538315e-05,73.9249392996535,-411.33699363391133,27043.118290368442,27454.455284002353,30943.074942500523
0.34,-1.166498435760958,1.166498435760958,3.9268572958482326e-05,73.93791561910011,-401.76475783883507,27314.41227542776,27716.177033266595,31232.48095023573
0.35000000000000003,-1.1407902684648767,1.1407902684648767,3.932741915526056e-05,73.95049662452685,-392.2557024533562,27578.92918680879,27971.184889262146,31514.37960315372
0.36,-1.1150951348559748,1.1150951348559748,3.938468605018943e-05,73.96269033142818,-382.79991548895487,27836.742041873054,28219.54195736201,31788.847604006427
0.37,-1.0893778029459367,1.0893778029459367,3.9440395459680724e-05,73.97450393244608,-373.3835663539612,28087.910258123567,28461.29382447753,32055.941779810368
0.38,-1.0636255227450784,1.0636255227450784,3.949456784564291e-05,73.98594444426782,-364.00065236655064,28332.48762066701,28696.48827303356,32315.721204113812
0.39,-1.0378323899389603,1.0378323899389603,3.9547222097639656e-05,73.99701864335809,-354.64759199554464,28570.523607763364,28925.17119975891,32568.242576099878
0.4,-1.0119899387307536,1.0119899387307536,3.959837522651495e-05,74.00773298098336,-345.3199959163976,28802.06328730726,29147.38328322366,32813.55647520373
0.41000000000000003,-0.9861133132053178,0.9861133132053178,3.964804404272362e-05,74.01809391807853,-336.0215709252043,29027.150275307547,29363.17184623275,33051.720709806985
0.42,-0.9602058671938484,0.9602058671938484,3.96962446056024e-05,74.02810778494421,-326.75202194339727,29245.82974819501,29572.581770138408,33282.789993885184
0.43,-0.9342874832958674,0.9342874832958674,3.9742992634864354e-05,74.03778085422266,-317.5166992988743,29458.145549324934,29775.66224862381,33506.82365714515
0.44,-0.9083815934972981,0.9083815934972981,3.978830436033427e-05,74.04711949579998,-308.32214975932584,29664.145806063672,29972.467955823,33723.88683877489
0.45,-0.8825062944590749,0.8825062944590749,3.9832196032488115e-05,74.0561300539644,-299.1731041655985,29863.881982886334,30163.055087051933,33934.04604787425
0.46,-0.8566987174149038,0.8566987174149038,3.987468434734489e-05,74.06481893026235,-290.08073898321163,30057.406772690265,30347.487511673477,34137.37617070453
0.47000000000000003,-0.8309818078922853,0.8309818078922853,3.991578714521671e-05,74.07319269446185,-281.05140076833413,30244.782190299222,30525.833591067556,34333.95668819688
0.48,-0.8053911932999687,0.8053911932999687,3.9955522407572414e-05,74.08125788049401,-272.09572292697703,30426.070815984687,30698.166538911664,34523.87230400649
0.49,-0.7799630633422235,0.7799630633422235,3.9993909557651535e-05,74.08902123219359,-263.22450562014274,30601.343259129884,30864.567764750027,34707.21654234719
0.5,-0.7547253921222027,0.7547253921222027,4.003096880107629e-05,74.0964895515502,-254.44576565571333,30770.676444702174,31025.122210357888,34884.08653426982
0.51,-0.7297218312179419,0.7297218312179419,4.006672102450155e-05,74.10366968693877,-245.77280265676745,30934.14937113497,31179.922173791736,35054.58744307147
0.52,-0.7049797538500511,0.7049797538500511,4.0101188804895235e-05,74.11056870338984,-237.21341800715163,31091.852294623954,31329.065712631105,35218.83044486372
0.53,-0.6805360875967044,0.6805360875967044,4.0134394978771334e-05,74.11719360959145,-228.77863941527175,31243.876364398275,31472.655003813547,35376.93113970706
0.54,-0.6564261230364047,0.6564261230364047,4.016636390741349e-05,74.1235515971895,-220.4789424115188,31390.320774308962,31610.79971672048,35529.01318741423
0.55,-0.6326752605084289,0.6326752605084289,4.0197120737506196e-05,74.12964988139802,-212.3214919976308,31531.290620181342,31743.612112178973,35675.202841259845
0.56,-0.6093214662534293,0.6093214662534293,4.022669123690032e-05,74.13549568775504,-204.31769041861116,31666.892705796603,31871.210396215214,35815.63283887632
0.5700000000000001,-0.5863862368759793,0.5863862368759793,4.0255102533529864e-05,74.14109636891276,-196.47343011333578,31797.243020047117,31993.716450160453,35950.439668462524
0.58,-0.5638979698118715,0.5638979698118715,4.028238191866209e-05,74.14645919146677,-188.7969490562973,31922.4578971756,32111.254846231895,36079.76268266096
0.59,-0.5418823632863495,0.5418823632863495,4.030855777398049e-05,74.15159151016351,-181.295606671094,32042.65942850063,32223.955035171723,36203.74643940524
0.6,-0.5203552690637464,0.5203552690637464,4.0333658865233146e-05,74.15650062278175,-173.97350296194782,32157.973317724445,32331.946820686393,36322.53566277315
0.61,-0.49934217383032214,0.49934217383032214,4.035771435837341e-05,74.16119379789556,-166.8379993094386,32268.52602478708,32435.364024096518,36436.279448496985
0.62,-0.4788539609749125,0.4788539609749125,4.0380754041315955e-05,74.16567829384087,-159.8916141215741,32374.44919793339,32534.340812054965,36545.12702743668
0.63,-0.45890630789088005,0.45890630789088005,4.040280768460937e-05,74.16996126040942,-153.13851411176438,32475.873990019085,32629.01250413085,36649.228820330696
0.64,-0.43951217206469056,0.43951217206469056,4.0423905522398705e-05,74.17404982792186,-146.5820007478942,32572.934192738212,32719.516193486106,36748.73706829161
0.65,-0.42067609324891075,0.42067609324891075,4.0444077663626236e-05,74.17795099044068,-140.22261554888973,32665.764420690124,32805.987036239014,36843.80170558661
0.66,-0.40240968696378565,0.40240968696378565,4.046335435728697e-05,74.1816716814851,-134.06330708864698,32754.499016471476,32888.56232356012,36934.574977686614
0.67,-0.38471309686812605,0.38471309686812605,4.048176570024628e-05,74.18521869880665,-128.10324854225473,32839.27335470455,32967.376603246805,37021.205924899565
0.68,-0.36758972571321175,0.36758972571321175,4.049934159857372e-05,74.1885987213269,-122.34274853915122,32920.22156801081,33042.564316549964,37103.8434114103
0.6900000000000001,-0.3510408752000855,0.3510408752000855,4.051611184065066e-05,74.19181832107442,-116.78146317697974,32997.47757296899,33114.25903614597,37182.63524950449
0.7000000000000001,-0.3350615160870081,0.3350615160870081,4.05321056612129e-05,74.19488387891192,-111.41699054723722,33071.17373515807,33182.590725705304,37257.72515335157
0.71,-0.3196516419980768,0.3196516419980768,4.0547352215427414e-05,74.1978016961221,-106.24864538446855,33141.44134512822,33247.68999051269,37329.257516375525
0.72,-0.30480317822265635,0.30480317822265635,4.056187990957653e-05,74.2005778525409,-101.27310576138552,33208.40945949248,33309.68256525387,37397.37124259773
0.73,-0.29051026414993175,0.29051026414993175,4.057571683855913e-05,74.20321831000561,-96.48782980907708,33272.20541462956,33368.69324443864,37462.204160952526
0.74,-0.27676576352891785,0.27676576352891785,4.058889056270511e-05,74.20572886877656,-91.88989391487121,33332.95428383935,33424.844177754225,37523.89112593612
0.75,-0.2635582972093186,0.2635582972093186,4.06014278182554e-05,74.20811511264046,-87.47500698102522,33390.778019499376,33478.2530264804,37582.56196851736
0.76,-0.2508799732237068,0.2508799732237068,4.06133551155582e-05,74.21038253854245,-83.24007365567377,33445.797022389546,33529.03709604522,37638.34611116222
0.77,-0.23871779452876626,0.23871779452876626,4.062469786271832e-05,74.21253638037902,-79.18034224263829,33498.12742597584,33577.30776821848,37691.36637485414
0.78,-0.22706029441566097,0.22706029441566097,4.063548109790537e-05,74.21458176273026,-75.2916034899099,33547.883450658075,33623.175054147985,37741.74404659997
0.79,-0.21589545088553133,0.21589545088553133,4.0645729092277845e-05,74.21652362504919,-71.56949709518813,33595.175901927316,33666.745399022504,37789.596450419456
0.8,-0.20520856993511477,0.20520856993511477,4.065546516943317e-05,74.2183666877749,-68.00880857984885,33640.11167822084,33708.12048680069,37835.03561791217
0.81,-0.1949875744993838,0.1949875744993838,4.066471236897141e-05,74.22011558953848,-64.60521942439664,33682.795984490025,33747.40120391442,37878.17269539002
0.8200000000000001,-0.18521616598740903,0.18521616598740903,4.067349239804359e-05,74.22177468036274,-61.35304066207755,33723.32861925543,33784.68165991751,37919.111312238776
0.8300000000000001,-0.17587942537903659,0.17587942537903659,4.0681826607671064e-05,74.22334821846613,-58.24706573005824,33761.80754808037,33820.054613810426,37957.95359906629
0.84,-0.16695948304939584,0.16695948304939584,4.068973529831351e-05,74.22484023459222,-55.2811355272861,33798.326426561,33853.607562088284,37994.79585091441
0.85,-0.15841664576943984,0.15841664576943984,4.069723639847288e-05,74.22625425958196,-52.44189174978965,33832.9715013897,33885.41339313949,38029.7180940224
0.86,-0.1502456885066311,0.1502456885066311,4.0704349832611564e-05,74.22759422733151,-49.72740668134793,33865.83277331757,33915.560179998916,38062.81732420051
0.87,-0.142245699951043,0.142245699951043,4.0711080686137734e-05,74.22886099065184,-47.07103190305497,33896.96294438861,33944.03397629166,38094.076693546034
0.88,-0.13426123229564632,0.13426123229564632,4.071743689954282e-05,74.2300559860455,-44.4212125185295,33926.42060673766,33970.84181925619,38123.50280464772
0.89,-0.12572339552200884,0.12572339552200884,4.072339669989586e-05,74.23117447763113,-41.589698784649954,33954.19281200673,33995.78251079138,38150.86981611368
0.9,-0.11313046266957745,0.11313046266957745,4.072873288189213e-05,74.23216904705116,-37.41851204084378,33979.78301736542,34017.201529406266,38174.32931995875
0.91,-0.09772558682224622,0.09772558682224622,4.073354985747869e-05,74.2330611663476,-32.31905526467017,34003.47266310312,34035.79171836779,38194.653816862
0.92,-0.05298495287319784,0.05298495287319784,4.073601396732436e-05,74.23346964212271,-17.52162017734372,34020.99606695958,34038.517687136926,38197.28870037083
0.93,0.04215149837583998,-0.04215149837583998,4.0734665889446854e-05,74.2330914639404,13.939632087625796,34028.96706197845,34015.027429890826,38170.67591961711
0.9400000000000001,0.26842129437222234,-0.26842129437222234,4.072385367644055e-05,74.23075226539062,88.79412586294347,34014.164119942565,33925.36999407962,38070.21100530395
0.9500000000000001,1.101796755579209,-1.101796755579209,4.06696950640049e-05,74.21941437313401,365.01696505286964,33896.98486979659,33531.967904743724,37630.633962106855
0.96,3.3401565573256864,-3.3401565573256864,4.05100694558217e-05,74.18621708065913,1111.4261464614865,33529.60336185301,32418.177215391526,36386.631072739394
0.97,8.917615596338399,-8.917615596338399,4.005935949845645e-05,74.09295586032435,3004.46968023324,32457.86707366173,29453.39739342849,33074.70698494154
0.98,19.001178094218776,-19.001178094218776,3.895861791019287e-05,73.8670192181821,6602.773701960352,29721.241660717522,23118.46795875717,25992.24256350685
0.99,26.681197024410384,-26.681197024410384,3.703827077304401e-05,73.4821523199472,9803.310066713671,24550.19357780023,14746.883511086558,16617.270388835652
1.0,24.345662781376003,-24.345662781376003,3.4873845988364834e-05,73.06817248396845,9554.182035575792,18073.133687666923,8518.951652091131,9626.497016736885
