Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.33,38.443344155612905,1.014783470174432,1.704780152117748e-05,1.1432379678033903e-05,1.9665189333921583e-05,2.2866167503792437e-05,1.7730288771234485e-05,2.0375473201944897e-05,3.0178662833589324e-05,40.151638798437105,33.83852820641031,29.24389225393702,30.089384241341328,0.026569451393849298
0.34,38.41790332033823,1.0125173037877204,1.7058168857136442e-05,1.1440818267523711e-05,1.967488588185831e-05,2.2877832082573953e-05,1.772164296528003e-05,2.0410117605072202e-05,3.0222035790862068e-05,40.16445531310001,33.840128991751385,29.244635828292424,30.09246650497213,0.02657967408363689
0.35000000000000003,38.39334190344619,1.01031220881652,1.7068188562774566e-05,1.1448976377254178e-05,1.968425636814862e-05,2.2889104552259144e-05,1.771312340847873e-05,2.044371595999814e-05,3.0264189924212256e-05,40.176824463492956,33.841678593653256,29.245355341233438,30.09544208700926,0.0265895635539384
0.36,38.369629703990284,1.0081671265885088,1.707787185994281e-05,1.1456862895369084e-05,1.969331138164063e-05,2.2899997637632833e-05,1.7704735851611437e-05,2.0476294357529405e-05,3.0305153273496812e-05,40.18876191287911,33.84317849296415,29.246051509644587,30.098314662554838,0.026599130210991813
0.37,38.346740368635686,1.0060811631508169,1.708722848258246e-05,1.1464485516506721e-05,1.9702060112715975e-05,2.2910522382149777e-05,1.7696485635221664e-05,2.0507875132854152e-05,3.034494902530768e-05,40.20028135171824,33.84462995935764,29.24672495016831,30.101087439068312,0.026608382857680732
0.38,38.32464854080364,1.004053481738834,1.7096267832337844e-05,1.1471851681120433e-05,1.971051143465207e-05,2.2920689448697966e-05,1.7688378178752878e-05,2.0538479837032398e-05,3.0383599411089025e-05,40.21139593662688,33.84603422834379,29.247376261593452,30.103763501900108,0.026617330152750376
0.39,38.3033309568014,1.0020833194677181,1.710499852421058e-05,1.1478968203990008e-05,1.971867347932627e-05,2.2930508609093825e-05,1.768041847704126e-05,2.056812822539614e-05,3.042112425937971e-05,40.22211774151552,33.84739242933644,29.24800599164834,30.106345681642463,0.02662597987232705
0.4,38.28276600607341,1.0001699718758346,1.7113428559971484e-05,1.1485841414122309e-05,1.9726553799900073e-05,2.2939988939714863e-05,1.7672611289365544e-05,2.059683862239732e-05,3.0457541632437106e-05,40.23245798167763,33.848705611085904,29.24861464897047,30.108836607527515,0.026634339260291198
0.41000000000000003,38.26293276072792,0.9983127619415276,1.7121565720800904e-05,1.1492477473768505e-05,1.973415973829359e-05,2.2949139263523155e-05,1.7664961256842187e-05,2.06246289548215e-05,3.0492869051772096e-05,40.242427504033394,33.84997480164755,29.249202731039308,30.111238825083056,0.026642415397418625
0.42,38.24381189663178,0.9965110327530418,1.7129417185220758e-05,1.149888206595229e-05,1.9741498068411546e-05,2.2957967720798234e-05,1.76574723908064e-05,2.065151595370301e-05,3.052712251427364e-05,40.252036325976434,33.85120094782974,29.2497706962298,30.11355468465887,0.026650214700902262
0.43,38.22538452938396,0.9947641451275362,1.713699000263123e-05,1.1505060779785214e-05,1.9748575439107075e-05,2.2966482301995894e-05,1.7650148670154857e-05,2.0677516137961528e-05,3.056031782186633e-05,40.261294222271395,33.852384988122765,29.250318997711194,30.115786482498315,0.026657743596979745
0.44,38.207632611121255,0.9930714511318902,1.714429092719743e-05,1.1511018974291968e-05,1.9755398219192366e-05,2.2974690661248357e-05,1.76429935132324e-05,2.0702645642459688e-05,3.059247026458168e-05,40.27021052706438,33.85352782602613,29.250848071176012,30.117936412748353,0.02666500815231999
0.45,38.19053872426376,0.9914322900927119,1.7151326499434147e-05,1.1516761844296902e-05,1.976197257395369e-05,2.2982600208379005e-05,1.763600993483527e-05,2.072692034803135e-05,3.0623594937233784e-05,40.27879423890606,33.85463034207387,29.25135834049256,30.12000659250588,0.026672014296353987
0.46,38.174085740124795,0.9898460026522462,1.7158103184012987e-05,1.1522294532336426e-05,1.976830459415211e-05,2.299021826406949e-05,1.7629200774958687e-05,2.0750356130159162e-05,3.0653706965302664e-05,40.2870541933796,33.85569341480878,29.251850227483366,30.121999103220023,0.026678767923413615
0.47000000000000003,38.15825707600365,0.9883118769168372,1.7164627261527188e-05,1.1527622039796906e-05,1.9774400195087295e-05,2.2997551938395155e-05,1.7622568092239573e-05,2.0772968899758324e-05,3.0682821630959885e-05,40.29499893507457,33.85671790326553,29.25232414388172,30.12391595960826,0.026685274711871144
