Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.15,337.3803864547058,-83999.99999,-51315.89985213507,-47035.367829151735,-48941.71999694035,91.1457738191017,-4460830.941158933,-36807.129579074644,84859.83068162273,-1689.837936728934,-5532.044812402448,-7221.882749131382,7221.882749131382,43.78610835453733,83.10054043952873
0.16,337.8073616751084,-83999.99999,-51241.03414511764,-47003.17584692473,-48893.942628947334,91.22618056627206,-4460407.638865297,-36483.08215638272,82220.9394931816,-1643.8072172749648,-5249.100499767592,-6892.907717042557,6892.907717042557,41.63986937529703,83.13082352286418
0.17,338.21389401841384,-83999.99999,-51169.70946758695,-46972.52339418491,-48848.01834327153,91.30366427832476,-4460003.067475514,-36182.24746310126,79824.46356182323,-1601.4541970586367,-4997.564597031967,-6599.018794090604,6599.018794090604,39.701459023219286,83.16045968484532
0.18,338.6019607320051,-83999.99999,-51101.58497959861,-46943.26160794081,-48803.77109054192,91.378496380392,-4459615.219946564,-35898.74341775933,77633.23574069036,-1562.2842683339622,-4771.58424051398,-6333.868508847942,6333.868508847942,37.9400608258185,83.18950358734605
0.19,338.97320909730274,-83999.99999,-51036.376753031254,-46915.266471391646,-48761.055084371335,91.45090283527671,-4459242.510666418,-35627.51709659971,75615.36159427399,-1525.8381248163716,-4567.095153397738,-6092.933278214109,6092.933278214109,36.33003236380285,83.21799905784857
0.2,339.3289778971121,-83999.99999,-50973.854235449064,-46888.43720306866,-48719.7526689003,91.52106545449944,-4458883.672937448,-35364.3304363486,73740.61336764245,-1491.6116350233951,-4380.771921714271,-5872.383556737666,5872.383556737666,34.847136702390536,83.24598014103188
0.21,339.6705224000297,-83999.99999,-50913.80088300102,-46862.67929612108,-48679.75392425702,91.58915427319263,-4458537.492149831,-35105.13440657161,71989.54572965174,-1459.3569253917788,-4209.658639983101,-5669.01556537488,5669.01556537488,33.47611380930063,83.27347847152289
0.22,339.9988227131618,-83999.99999,-50856.04796703345,-46837.9189751398,-48640.97438697971,91.65529975123782,-4458203.087630906,-34846.60735945201,70340.1193583403,-1428.6849725562306,-4051.712938777911,-5480.397911334141,5480.397911334141,32.1998156326573,83.30051599674562
0.23,340.314787398137,-83999.99999,-50800.43888460154,-46814.08784421517,-48603.336163004125,91.71962172644585,-4457879.607514025,-34585.627716789335,68776.88232797569,-1399.3636051585038,-3904.920635495335,-5304.284240653838,5304.284240653838,31.00635432748473,83.3271126380497
0.24,340.6191963175435,-83999.99999,-50746.839283523186,-46791.12719982467,-48566.77345915784,91.78222137553279,-4457566.353123775,-34319.42522333117,67286.21291213065,-1371.178000960338,-3767.794861503954,-5138.972862464292,5138.972862464292,29.885505586853693,83.35328353912357
