Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.1,333.82288413539266,1371.7000875449844,1201.1601076012375,1040.3480271687968,1059.1069780891664,1089.862353047293,22.085269011401437,24069.903252448432,-637.7779843548959,2642.737371043525,2004.959386688629,7748.229871900541,9753.18925858917,9753.18925858917,68.55972581141201,30.70308263432073
0.11,334.4796817781313,1397.7485571407917,1223.3472061119296,1059.5375654991253,1078.7923875676288,1110.3291833267433,22.186493119903293,24634.310786706632,-640.4186699266198,2567.6873557428958,1927.268685816276,7147.5705395454615,9074.839225361738,9074.839225361738,62.9315008594035,30.715171858000446
0.12,335.0847689750622,1421.769149394373,1243.7900379729206,1077.2174926682933,1096.9333996729556,1129.1923921762009,22.282409443550087,25161.127223011892,-643.0200727474022,2501.0301038993375,1858.0100311519354,6646.657785134073,8504.667816286008,8504.667816286008,58.24862450941046,30.726050836060836
0.13,335.64680481610617,1444.100324146491,1262.7805824464272,1093.640547687498,1113.7883676062766,1146.718866803255,22.373713048265177,25656.358872887842,-645.5849565400902,2441.6698880208464,1796.0849314807563,6220.151258554287,8016.236190035043,8016.236190035043,54.27104476353945,30.73590110627338
0.14,336.17204593107346,1464.9865578599718,1280.5297983674216,1108.9893422542616,1129.5439456454494,1163.101688778198,22.460962040796787,26124.38288123374,-648.0946176410027,2388.510348083289,1740.4157304422863,5852.4158332121015,7592.8315636543875,7592.8315636543875,50.84936339407336,30.74486234456134
0.15,336.66523624091667,1484.613191642711,1297.1976346375097,1123.4023345673888,1144.3416526593953,1178.4873046055343,22.54458943673083,26568.51243873132,-650.527977614248,2340.365914343182,1689.837936728934,5532.044812402448,7221.882749131382,7221.882749131382,47.8747501850851,30.753042492850305
0.16,337.13066108710154,1503.1480787339483,1312.9286236826879,1137.0046200498684,1158.3094287942283,1193.0082488035216,22.624996183901192,26991.80707654232,-652.8508910673746,2296.6581083423393,1643.8072172749648,5249.100499767592,6892.907717042557,6892.907717042557,45.25365789259064,30.76053851582219
0.17,337.5713192382101,1520.708426529836,1327.8238765736728,1149.8837235899432,1171.5367431033371,1206.7572688690357,22.702479895953882,27396.382635795497,-655.0315310467365,2256.4857281053733,1601.4541970586367,4997.564597031967,6599.018794090604,6599.018794090604,42.9284540631547,30.767422690059174
0.18,337.98999125430885,1537.4031815680416,1341.9771755805914,1162.1208148383917,1184.1066178220644,1219.820466012451,22.777311998021116,27784.23133593711,-657.0338374375951,2219.3181057715574,1562.2842683339622,4771.58424051398,6333.868508847942,6333.868508847942,40.84423897923781,30.773760294276585
0.19,338.388885876248,1553.3188456971052,1355.4630115223401,1173.78036858016,1196.0849920980631,1232.2662970529484,22.849718452905833,28156.937946664697,-658.8201634707636,2184.6582882871353,1525.8381248163716,4567.095153397738,6092.933278214109,6092.933278214109,38.96255319265349,30.77960548490623
0.2,338.7697997812539,1568.5257550056674,1368.3419743665384,1184.9148294058414,1207.525496662437,1244.1504521495265,22.919881072128568,28515.780399102132,-660.3555130707572,2151.9671480941524,1491.6116350233951,4380.771921714271,5872.383556737666,5872.383556737666,37.25206345486455,30.785002937314246
0.21,339.1343924003732,1583.088989639206,1380.6700383050281,1195.572641707177,1218.47769319765,1255.5244408422893,22.98796989082174,28861.95804327335,-661.6018066529521,2120.958732044731,1459.3569253917788,4209.658639983101,5669.01556537488,5669.01556537488,35.685181410685146,30.789993858207826
0.22,339.48392573835554,1597.0579394389351,1392.48975969654,1205.790641920573,1228.979248735499,1266.4274388949598,23.05411536886695,29196.3642825831,-662.5244160229055,2091.209388579136,1428.6849725562306,4051.712938777911,5480.397911334141,5480.397911334141,34.242599687666235,30.794611376983987
0.23,339.81958273142936,1610.4789812452202,1403.8410374599434,1215.6033627559461,1239.0654896783178,1276.8962012882962,23.11843734407498,29519.84482437083,-663.0884106078731,2062.452015766377,1399.3636051585038,3904.920635495335,5304.284240653838,5304.284240653838,32.905612376025054,30.79888606626625
