Position,k2,Cl_MEA_true,Dl_CO2,kl_CO2,Ha,E,Psi,Psi_H,eta_psi
0.24,53.17205881308004,1861.005045541889,3.4628040218976886e-09,3.721784119390491e-05,497.3685174185851,136.5851598437179,171.52336021642958,0.0540876942715014,1.0
0.25,54.082940261516725,1881.1843089128974,3.4830410350628762e-09,3.742310961893591e-05,503.01999061535105,139.63030048674656,175.91779846474395,0.05512795562202579,1.0
0.26,54.98458603647384,1901.2051880256145,3.502651530600573e-09,3.762312407623512e-05,508.60261260962966,142.73671159650758,180.39838325377,0.05618765974172383,1.0
0.27,55.8769274320523,1921.0593472124242,3.5216617871138675e-09,3.781808215004324e-05,514.11582363596,145.9007718034957,184.96088247488706,0.05726527754192884,1.0
0.28,56.75987930590415,1940.738006323482,3.5400966350130994e-09,3.800816742242396e-05,519.5589318756568,149.11864946026637,189.60071143574052,0.058359230846771734,1.0
0.29,57.633272774708914,1960.2313304633208,3.5579776408842664e-09,3.819353404603481e-05,524.9308127519811,152.38632143226565,194.31290659389006,0.059467904159487314,1.0
0.3,58.49684778388227,1979.5286572931293,3.575322927907224e-09,3.837430591508416e-05,530.2299219840387,155.69964538438194,199.09220924509694,0.06058967148905163,1.0
0.31,59.3503432986749,1998.6190475212436,3.5921500537896828e-09,3.855060065482639e-05,535.4546748479627,159.05421667120342,203.93295240790434,0.061722839118660854,1.0
0.32,60.193402968262035,2017.490777803586,3.608473242352651e-09,3.8722506833189106e-05,540.6030689720138,162.44551223589593,208.82916984390607,0.06286570403570148,1.0
0.33,61.02566442950815,2036.1320128955283,3.62430607188534e-09,3.889010664056437e-05,545.6730732462457,165.86879833901776,213.7745467242764,0.06401651547775089,1.0
0.34,61.84673147156231,2054.530639326868,3.6396607052677194e-09,3.905346958676562e-05,550.6625149627041,169.3191680534952,218.76244532980922,0.06517349055935122,1.0
0.35000000000000003,62.65617061756736,2072.674447039782,3.6545477344646e-09,3.921265173133744e-05,555.5690938571909,172.79161151244037,223.78599149763892,0.06633483964761887,1.0
0.36,63.45355635619282,2090.5512637288107,3.6689775993727493e-09,3.936770719206363e-05,560.3905499011321,176.28091166563397,228.8379783205245,0.06749872697253667,1.0
0.37,64.23843403841103,2108.1491098479078,3.6829593230025694e-09,3.951867866769678e-05,565.1245592067656,179.78182964270565,233.9110735644712,0.06866333799254697,1.0
0.38,65.01035592013893,2125.456173176431,3.6965016960014775e-09,3.9665606685751455e-05,569.7688507484879,183.28898245480806,238.99769495168707,0.06982683428290862,1.0
0.39,65.76887881436231,2142.46104029143,3.7096130595228487e-09,3.980852853585451e-05,574.3212252756362,186.7969441463742,244.09013921899307,0.0709873885426295,1.0
0.4,66.51356133857429,2159.152838415318,3.722301133587443e-09,3.9947477291193475e-05,578.7795628630113,190.30032030471705,249.1806788687929,0.07214320993798631,1.0
0.41000000000000003,67.2439817777966,2175.52097835825,3.73457371973795e-09,4.008248676746624e-05,583.1418484728703,193.7936114409657,254.26140542270605,0.07329249520827645,1.0
0.42,67.95973614207684,2191.555871532454,3.7464381897617225e-09,4.0213589285737234e-05,587.4062504320466,197.27149765666482,259.32459700690106,0.0744335255109883,1.0
0.43,68.66043925123446,2207.2482990644207,3.7579018886755994e-09,4.0340817363320856e-05,591.5710457162953,200.72862540354217,264.3624510172894,0.07556459216148301,1.0
0.44,69.34573849062798,2222.589942758739,3.768972209341899e-09,4.046420564416758e-05,595.6347260777692,204.15977631672806,269.36731724025105,0.07668405206510887,1.0
0.45,70.01530905905679,2237.5734711112746,3.779656376729474e-09,4.0583789452652306e-05,599.5959906732963,207.5599390760671,274.331793167,0.07779035070096729,1.0
