table_id,mixture,T_K,co2_loading_mol_per_mol_mea,co2_loading_uncertainty,mea_wt_pct,sugar_wt_pct,water_wt_pct,property_or_metric,units,value,comparison_or_reference,source_locator,evidence_label,claim_scope,K_G_x10e4_mol_m2_kPa_s,D_CO2_x10e9_m2_s,H_CO2_kPa_m3_kmol,k_l_x10e5_m_s,k_g_x10e2_m_s,k_ov_s_1,Ha,E_inf,zotero_collection_key,zotero_parent_key,zotero_attachment_key,local_companion_locator
S6.1,5 M MEA (30 wt%),313.15,0.131,,,,,equilibrium_pCO2,ppm,40.57,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.131,,,,,equilibrium_pCO2,ppm,125.13,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.131,,,,,equilibrium_pCO2,ppm,217.14,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.188,,,,,equilibrium_pCO2,ppm,30.63,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.188,,,,,equilibrium_pCO2,ppm,70.80,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.188,,,,,equilibrium_pCO2,ppm,267.12,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.188,,,,,equilibrium_pCO2,ppm,625.72,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.192,,,,,equilibrium_pCO2,ppm,562.08,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.157,,,,,equilibrium_pCO2,ppm,25.15,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.157,,,,,equilibrium_pCO2,ppm,61.14,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.157,,,,,equilibrium_pCO2,ppm,162.64,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.157,,,,,equilibrium_pCO2,ppm,477.87,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.223,,,,,equilibrium_pCO2,ppm,44.18,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.223,,,,,equilibrium_pCO2,ppm,117.75,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.223,,,,,equilibrium_pCO2,ppm,311.62,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.223,,,,,equilibrium_pCO2,ppm,842.01,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.251,,,,,equilibrium_pCO2,ppm,66.87,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.251,,,,,equilibrium_pCO2,ppm,182.39,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.251,,,,,equilibrium_pCO2,ppm,499.53,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.251,,,,,equilibrium_pCO2,ppm,1306.08,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.269,,,,,equilibrium_pCO2,ppm,261.54,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),303.15,0.275,,,,,equilibrium_pCO2,ppm,102.34,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.275,,,,,equilibrium_pCO2,ppm,261.43,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),323.15,0.275,,,,,equilibrium_pCO2,ppm,705.22,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),333.15,0.275,,,,,equilibrium_pCO2,ppm,1796,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.304,,,,,equilibrium_pCO2,ppm,408.31,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.308,,,,,equilibrium_pCO2,ppm,413.37,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.1,5 M MEA (30 wt%),313.15,0.314,,,,,equilibrium_pCO2,ppm,418.46,,"Ganesan2026 supplied SI PDF p. 10, Table S6.1",verified,retained_VLE_observation,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),293.8,0,,,,,m,dimensionless,0.73,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),293.8,0,,,,,kg,10^-3 m/s,5.03,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),293.8,0,,,,,kL,10^-5 m/s,3.85,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),293.8,0,,,,,Ha,dimensionless,164,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),293.8,0,,,,,m_kL_Ei,10^-3 m/s,4.61,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.5,0,,,,,m,dimensionless,0.69,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.5,0,,,,,kg,10^-3 m/s,6.31,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.5,0,,,,,kL,10^-5 m/s,4.32,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.5,0,,,,,Ha,dimensionless,207,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.5,0,,,,,m_kL_Ei,10^-3 m/s,6.17,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.1,0,,,,,m,dimensionless,0.65,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.1,0,,,,,kg,10^-3 m/s,7.61,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.1,0,,,,,kL,10^-5 m/s,4.85,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.1,0,,,,,Ha,dimensionless,223,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.1,0,,,,,m_kL_Ei,10^-3 m/s,7.03,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.9,0,,,,,m,dimensionless,0.61,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.9,0,,,,,kg,10^-3 m/s,7.69,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.9,0,,,,,kL,10^-5 m/s,5.41,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.9,0,,,,,Ha,dimensionless,234,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.9,0,,,,,m_kL_Ei,10^-3 m/s,7.72,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),312.7,0,,,,,m,dimensionless,0.57,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),312.7,0,,,,,kg,10^-3 m/s,8.21,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),312.7,0,,,,,kL,10^-5 m/s,6.01,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),312.7,0,,,,,Ha,dimensionless,262,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),312.7,0,,,,,m_kL_Ei,10^-3 m/s,8.97,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.7,0.101,,,,,m,dimensionless,0.63,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.7,0.101,,,,,kg,10^-3 m/s,5.32,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.7,0.101,,,,,kL,10^-5 m/s,4.03,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.7,0.101,,,,,Ha,dimensionless,189,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),298.7,0.101,,,,,m_kL_Ei,10^-3 m/s,4.79,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.4,0.101,,,,,m,dimensionless,0.59,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.4,0.101,,,,,kg,10^-3 m/s,5.79,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.4,0.101,,,,,kL,10^-5 m/s,4.53,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.4,0.101,,,,,Ha,dimensionless,192,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),303.4,0.101,,,,,m_kL_Ei,10^-3 m/s,5.13,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.7,0.101,,,,,m,dimensionless,0.56,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.7,0.101,,,,,kg,10^-3 m/s,5.65,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.7,0.101,,,,,kL,10^-5 m/s,5.08,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.7,0.101,,,,,Ha,dimensionless,199,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),307.7,0.101,,,,,m_kL_Ei,10^-3 m/s,5.66,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),311.2,0.101,,,,,m,dimensionless,0.53,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),311.2,0.101,,,,,kg,10^-3 m/s,6.69,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),311.2,0.101,,,,,kL,10^-5 m/s,5.54,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),311.2,0.101,,,,,Ha,dimensionless,220,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
S6.2,5 M MEA (30 wt%),311.2,0.101,,,,,m_kL_Ei,10^-3 m/s,6.46,,"Ganesan2026 supplied SI PDF p. 10-11, Table S6.2",verified,retained_specific_absorption_flux_input,,,,,,,,,9T8XETPA,KVLELL3S,77DLGVMR,Downloads/Zotero-Supplements/Ganesan_2026_Supplementary_Information.pdf
