Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.1,39.502217347899844,1.0954621017513937,1.6626109892201207e-05,1.1091339743347028e-05,1.926994255037732e-05,2.239081983970957e-05,1.7952390566083225e-05,1.906493016545759e-05,2.8570877365252928e-05,39.61408641473203,33.775692559191356,29.21444198198381,29.960938334520804,0.026154031389682832
0.11,39.42660299290736,1.0905012317409504,1.6655601312189622e-05,1.1115051604085023e-05,1.9297638729846512e-05,2.2424121231975292e-05,1.7944292580528815e-05,1.9150573866421354e-05,2.867530895629653e-05,39.65274341310331,33.77993937901055,29.21645014346744,29.97012278529605,0.02618305537330464
0.12,39.35720327959507,1.0858522060702585,1.6682751411027035e-05,1.1136899409749085e-05,1.932312879388722e-05,2.245477107202355e-05,1.7935865663666706e-05,1.9230215950372666e-05,2.8772258606449807e-05,39.688186214096014,33.78386906438418,29.218305847715392,29.978550524095244,0.026209652145683028
0.13,39.29296199813792,1.0814668670209642,1.670795418270741e-05,1.1157196016014355e-05,1.9346784338587653e-05,2.2483215934024626e-05,1.7927229586911023e-05,1.9304818289053955e-05,2.8862979128024043e-05,39.720963071922675,33.787533995526424,29.220034408112188,29.986350294411004,0.02623426680250122
0.14,39.23311380311857,1.0773089481879257,1.6731494907990345e-05,1.1176167894000963e-05,1.9368874447485374e-05,2.2509779192494934e-05,1.7918451098515116e-05,1.9375088019794134e-05,2.8948377523590803e-05,39.7514713278314,33.790972045745974,29.22165413447714,29.993615384565587,0.026257207388589637
0.15,39.17707711054537,1.073350466141764,1.675359032764399e-05,1.1193987085561174e-05,1.9389603560245304e-05,2.2534706534770646e-05,1.7909575842485858e-05,1.944156502894964e-05,2.902914275988239e-05,39.78001291629261,33.79421197828926,29.22317893367247,30.000416680022244,0.02627870459079132
0.16,39.12433099307377,1.0695664058357202,1.6774436070838892e-05,1.1210809214138195e-05,1.940915606524842e-05,2.255821957097614e-05,1.7900643979839054e-05,1.950474083226908e-05,2.910590052400597e-05,39.80685758537406,33.79728013398981,29.224621489821935,30.006817634069833,0.026298967424363728
0.17,39.0745070175996,1.0659384561754617,1.679416967812084e-05,1.1226743499409684e-05,1.942766167589032e-05,2.2580474188498055e-05,1.7891675803595165e-05,1.9564963432987676e-05,2.917908826183978e-05,39.83219647557017,33.800194825529594,29.2259906486763,30.01286314103594,0.026318136242318727
0.18,39.02726635768332,1.062450014766536,1.6812918573686805e-05,1.124189134162571e-05,1.944524047852305e-05,2.2601614717382502e-05,1.788269279751274e-05,1.962255600753703e-05,2.9249113545228704e-05,39.85620493559586,33.80297325595395,29.227294687895434,30.01859446398865,0.026336343960770642
0.19,38.98233877541708,1.0590875919323206,1.6830784283480756e-05,1.1256333504826818e-05,1.9461988162401185e-05,2.2621756163794648e-05,1.7873708255783398e-05,1.967777794372695e-05,2.931630041029286e-05,39.87902285630705,33.805629105822405,29.228540193613618,30.024044513596728,0.026353693371422404
0.2,38.93950361982321,1.0558401547334324,1.6847849638291685e-05,1.1270135863003298e-05,1.9477982802662383e-05,2.264099236313208e-05,1.7864732971010103e-05,1.9730840690526954e-05,2.9380912520276535e-05,39.900764481411336,33.80817352000603,29.22973253337329,30.029240161475382,0.026370267995664495
0.21,38.89855820569433,1.0526976231377143,1.6864191142588658e-05,1.1283359354479137e-05,1.949329647294476e-05,2.2659409943284903e-05,1.7855776996553524e-05,1.978194054771363e-05,2.9443194291977668e-05,39.921534561474964,33.810616897495436,29.230876701407144,30.034206081112607,0.02638614531836289
0.22,38.85934664248968,1.0496521445057703,1.6879867312711253e-05,1.129605051165766e-05,1.950798433055883e-05,2.267707519556657e-05,1.784684668465751e-05,1.9831227572138546e-05,2.950333094908317e-05,39.94141380140626,33.812967110732494,29.231976489252155,30.038961255242747,0.02640138280242115
0.23,38.821723595510115,1.0466965074494126,1.6894932994058857e-05,1.1308253014719123e-05,1.952209804580016e-05,2.2694050224195283e-05,1.7837949212855187e-05,1.9878842442156736e-05,2.9561496616633637e-05,39.96047730876357,33.81523161172957,29.233035476144178,30.043523374275743,0.02641603535070827
0.24,38.78556753207039,1.0438246551230372,1.6909433972232387e-05,1.132000330879125e-05,1.953568076088568e-05,2.2710386882199577e-05,1.7829089879125845e-05,1.992490278701543e-05,2.9617835731651077e-05,39.97878792064831,33.81741660209128,29.234056643274798,30.047907232145647,0.026430147758466194
