Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.14,0.4506832516260179,-0.4506832516260179,2.8868731304698234e-05,73.58918648669814,4579.417144250408,6425.302590008675,1845.8854457582677,137.10412276961736,2822.482129545807
0.15,0.44631829732602624,-0.44631829732602624,2.8964606783274413e-05,73.61359730215601,4442.80880530323,6270.167124969606,1827.3583196663762,140.61234377299425,2843.822196669158
0.16,0.4422973491283121,-0.4422973491283121,2.9056376489337113e-05,73.63700198689263,4311.687187066678,6118.182374745201,1806.4951876785224,144.24277986768584,2864.3578706201033
0.17,0.4385431870931522,-0.4385431870931522,2.9144423681102105e-05,73.65948521716678,4185.439946095295,5969.101326283745,1783.6613801884494,147.99195497051076,2884.160298946877
0.18,0.4349840159689781,-0.4349840159689781,2.922909768630715e-05,73.68112484284887,4063.51268824832,5822.704538380425,1759.191850132105,151.85624666678464,2903.2944661491274
0.19,0.4315581555010419,-0.4315581555010419,2.931068847402741e-05,73.70198564210673,3945.441382712212,5678.818095927191,1733.3767132149792,155.8322071197928,2921.8140247193332
0.2,0.42821390245348534,-0.42821390245348534,2.938943034247388e-05,73.72212002890387,3830.844528351306,5537.306754556457,1706.4622262051512,159.9167517906947,2939.7621525172685
0.21,0.4249019434086087,-0.4249019434086087,2.9465541834867023e-05,73.74157734577787,3719.374375202579,5398.051555139543,1678.677179936964,164.10637818085257,2957.179105490892
0.22,0.4215819030521615,-0.4215819030521615,2.953919183012579e-05,73.7603956943057,3610.756540603851,5260.970393477387,1650.2138528735359,168.39774613615995,2974.095610375413
0.23,0.41821596613349515,-0.41821596613349515,2.9610535761179046e-05,73.7786104942315,3504.7447514199284,5125.993034092374,1621.2482826724456,172.78720844820424,2990.539954796946
0.24,0.4147707189823893,-0.4147707189823893,2.967970551005782e-05,73.79625197431942,3401.1329105540144,4993.069771707092,1591.9368611530772,177.2708337294968,3006.5358787788373
0.25,0.41121745756763595,-0.41121745756763595,2.9746809776570542e-05,73.81334523085015,3299.752665627685,4862.168806476605,1562.4161408489197,181.84452433296156,3022.1027258219037
0.26,0.40752929381609154,-0.40752929381609154,2.98119506101683e-05,73.82991413217205,3200.4537347558553,4733.265839309213,1532.8121045533583,186.50373864196638,3037.2586194941323
0.27,0.40368402313442125,-0.40368402313442125,2.9875208506759385e-05,73.84597770198171,3103.1203501848686,4606.354234206461,1503.2338840215925,191.24367336576995,3052.0175137341994
0.28,0.3996615922971814,-0.3996615922971814,2.9936657921931395e-05,73.86155382909129,3007.652158786086,4481.432872637614,1473.7807138515282,196.05914633821465,3066.3922872563344
0.29,0.39544496978203053,-0.39544496978203053,2.9996362879033668e-05,73.87665816660929,2913.969121788437,4358.510292279385,1444.541170490948,200.94457620017485,3080.3938086001995
0.3,0.39102041474392807,-0.39102041474392807,3.0054376845686442e-05,73.8913040930772,2822.0103166638173,4237.603220839711,1415.5929041758934,205.8940755041096,3094.0309616386007
0.31,0.38637619464571815,-0.38637619464571815,3.011075034924061e-05,73.90550451491991,2731.725119014817,4118.731681204224,1387.0065621894064,210.90133050506407,3107.3121166987985
0.32,0.38150397741224557,-0.38150397741224557,3.0165524252897482e-05,73.91927022879305,2643.079766730193,4001.922877552274,1358.8431108220807,215.9597379249836,3120.243809575628
0.33,0.376397661758538,-0.376397661758538,3.0218736656346946e-05,73.93261156612468,2556.049121818913,3887.2061515060122,1331.157029687099,221.06233914551473,3132.832114870382
0.34,0.37105377299643894,-0.37105377299643894,3.027042128130754e-05,73.9455379792442,2470.6179381967268,3774.6138779511352,1303.9959397544085,226.20186722513247,3145.082308283577
0.35000000000000003,0.3654715976777653,-0.3654715976777653,3.032060724528768e-05,73.9580579757468,2386.7800324050104,3664.1804385608802,1277.40040615587,231.37084460135551,3156.9988571482118
0.36,0.3596525059264665,-0.3596525059264665,3.0369322569909555e-05,73.9701799349095,2304.5346322024225,3555.940975474428,1251.4063432720054,236.56146760993346,3168.586071260346
0.37,0.3536005514072713,-0.3536005514072713,3.0416591605660458e-05,73.9819114782216,2223.88748524468,3449.9304575231404,1226.0429722784602,241.76586397312465,3179.84765243019
0.38,0.34732187097648803,-0.34732187097648803,3.0462437581974972e-05,73.99326005732964,2144.8485416124404,3346.183875817237,1201.335334204797,246.97593078367788,3190.787151896883
0.39,0.3408247224382567,-0.3408247224382567,3.0506882575412607e-05,74.00423292971159,2067.4308937799688,3244.734554985041,1177.3036612050726,252.18349609601856,3201.4079898970294
0.4,0.33411947287523985,-0.33411947287523985,3.054994714890589e-05,74.01483705760556,1991.6502263296,3145.613472078416,1153.9632457488162,257.38042533885675,3211.713410637964
0.41000000000000003,0.32721819039545147,-0.32721819039545147,3.059165176349553e-05,74.02507942075401,1917.524183864401,3048.8507602528002,1131.3265763883992,262.5584340990867,3221.706690513218
0.42,0.3201346805616929,-0.3201346805616929,3.063201638416079e-05,74.03496691456525,1845.070152286949,2954.4712464483046,1109.4010941613556,267.7095155014225,3231.3911700921576
0.43,0.3128842334837751,-0.3128842334837751,3.067106067418114e-05,74.04450637218055,1774.3066834347037,2862.498524085054,1088.1918406503505,272.82562219608377,3240.7701903899383
0.44,0.3054833608140869,-0.3054833608140869,3.070880482382574e-05,74.05370475054472,1705.2510101422924,2772.9515293621657,1067.7005192198733,277.89893245004055,3249.8473138035183
0.45,0.29794968893505314,-0.29794968893505314,3.074526901530072e-05,74.06256898930074,1637.9188440596758,2685.8442502092166,1047.9254061495408,282.9219499019477,3258.626237398648
0.46,0.2903017440292012,-0.2903017440292012,3.0780473800053506e-05,74.07110608302645,1572.3255730135418,2601.189017442866,1028.863444429324,287.8872274886929,3267.1107733353465
0.47000000000000003,0.28255858757124197,-0.28255858757124197,3.081444066276982e-05,74.07932320824818,1508.4823591425816,2518.9901966673215,1010.50783752474,292.7879154390947,3275.305099194672
0.48,0.27473986355838675,-0.27473986355838675,3.084719111078921e-05,74.08722749236202,1446.3996866442085,2439.250431370238,992.8507447260295,297.6173100090869,3283.213443718964
0.49,0.26686534818165913,-0.26686534818165913,3.087874780496358e-05,74.09482627411029,1386.0843488361375,2361.966562926388,975.8822140902507,302.3691688982096,3290.840379782546
0.5,0.25895483589179324,-0.25895483589179324,3.090913389073561e-05,74.10212693636888,1327.5396043224735,2287.129716511941,959.5901121894674,307.0377850767888,3298.19070473813
0.51,0.2510281046161892,-0.2510281046161892,3.093837299051852e-05,74.10913689819057,1270.7672233422832,2214.729253266657,943.962029924374,311.61765560993933,3305.269338562464
0.52,0.24310436340825367,-0.24310436340825367,3.096648992125811e-05,74.11586377699045,1215.7633505553904,2144.7463869119465,928.983036356556,316.1040445631519,3312.081603040962
0.53,0.23520253419517226,-0.23520253419517226,3.099350954980258e-05,74.12231511652797,1162.522673606516,2077.1607497209616,914.6380761144455,320.49248255333106,3318.632860603713
0.54,0.22734077302935063,-0.22734077302935063,3.1019457817107625e-05,74.12849862385275,1111.0356733647195,2011.9466652105148,900.9109918457953,324.7790617175407,3324.9287804753544
0.55,0.21953641928074719,-0.21953641928074719,3.10443610346761e-05,74.13442200043987,1061.2890381902332,1949.073495455491,887.7844572652577,328.9604748730452,3330.9752070021427
0.56,0.21180609456940325,-0.21180609456940325,3.1068245875072365e-05,74.14009294391961,1013.2677297430946,1888.5092379783457,875.2415082352511,333.03368984990595,3336.7780693176105
0.5700000000000001,0.20416518609884227,-0.20416518609884227,3.109113979361441e-05,74.14551923972908,966.9516633880725,1830.2154045760399,863.2637411879674,336.99642332946803,3342.3435759857634
0.58,0.1966282283516684,-0.1966282283516684,3.111307018030524e-05,74.15070857029883,922.3193028418618,1774.1524490737145,851.8331462318527,340.8466907538801,3347.6779374608122
0.59,0.18920853342089528,-0.18920853342089528,3.1134065051233874e-05,74.15566867486734,879.3456776671551,1720.2770416886312,840.9313640214762,344.5830282292169,3352.787549120583
0.6,0.18191822143105923,-0.18191822143105923,3.115415241230972e-05,74.16040720119834,838.002897949521,1668.5425135683963,830.5396156188754,348.2045023949747,3357.678869628182
0.61,0.17476836623844538,-0.17476836623844538,3.117336042197148e-05,74.16493175335226,798.2616879415235,1618.9014627612435,820.63977481972,351.71044524299043,3362.358387907718
0.62,0.16776866955406994,-0.16776866955406994,3.119171736563487e-05,74.1692498787821,760.0893857942751,1571.302515796392,811.2131300021169,355.10077875429204,3366.832691750269
0.63,0.16092778960750406,-0.16092778960750406,3.120925131837647e-05,74.17336900245063,723.4523026435742,1525.6938777388395,802.2415750952654,358.37568578494995,3371.1083286802714
0.64,0.1542531486126741,-0.1542531486126741,3.122599044813742e-05,74.17729649648354,688.3146658625134,1482.0218107449214,793.707144882408,361.535738380025,3375.191891375101
