Position,y_CO2,y_H2O,y_N2,y_O2
0.47000000000000003,0.022627562383225743,0.2774320546914953,0.6304865411796615,0.06945384174561754
0.48,0.021910052580665727,0.2790612553608398,0.6296653157792613,0.0693633762792332
0.49,0.021214725599681135,0.28063429762903264,0.6288746946219855,0.06927628214930073
0.5,0.020541492795530573,0.28215200205262086,0.6281140184223377,0.06919248672951088
0.51,0.019890250176919567,0.2836152081320496,0.6273826246544346,0.06911191703659622
0.52,0.019260820882508516,0.2850248595131729,0.6266798226204282,0.0690344969838905
0.53,0.018653014335788216,0.28638190661588,0.626004927874848,0.06896015117348386
0.54,0.01806659265152737,0.2876873721406695,0.6253572334782527,0.06888880172955048
0.55,0.01750127376334537,0.28894232978212264,0.6247360263543028,0.06882037010022919
0.56,0.016956763797511168,0.29014786705159434,0.6241405916166272,0.06875477753426737
0.5700000000000001,0.01643271094762592,0.2913051498331999,0.6235701959669959,0.06869194325217826
0.58,0.015928754332013146,0.2924153446345151,0.623024113720338,0.06863178731313392
0.59,0.015444499434221362,0.2934796651693989,0.62250160696675,0.06857422842962975
0.6,0.01497952209262012,0.29449935203130034,0.622001940287494,0.06851918558858562
0.61,0.014533391937190509,0.2954756499899755,0.6215243800942727,0.06846657797856125
0.62,0.014105643221535786,0.2964098419763981,0.6210681902902845,0.06841632451178165
0.63,0.013695806759057889,0.2973032035527363,0.6206326445151755,0.06836834517303035
0.64,0.01330339620624342,0.2981570272614455,0.6202170165676937,0.06832255996461742
0.65,0.012927911679698737,0.29897260611878324,0.6198205920161414,0.06827889018537665
0.66,0.012568852593361173,0.2997512278305214,0.619442661845301,0.0682372577308165
0.67,0.012225705172576562,0.30049417973665343,0.6190825292493486,0.0681975858414215
0.68,0.011897957076980471,0.3012027353152553,0.6187395086169166,0.0681597989908476
0.6900000000000001,0.01158509327976071,0.30187815923779354,0.6184129246892592,0.06812382279318645
0.7000000000000001,0.011286598659564068,0.3025216957227659,0.6181021207162474,0.0680895849014226
0.71,0.011001961559731984,0.3031345768051365,0.617806447801436,0.06805701383369551
0.72,0.010730674284319775,0.30371800581230507,0.6175252793396444,0.06802604056373072
0.73,0.010472233889138883,0.3042731684775515,0.617258000293731,0.06799659733957869
0.74,0.010226144951353053,0.3048012244452617,0.6170040123516712,0.06796861825171409
0.75,0.009991921022772202,0.3053033001259706,0.6167627390534478,0.06794203979780943
0.76,0.009769081603527404,0.3057805060703235,0.6165336128671045,0.06791679945904457
0.77,0.009557160931717575,0.30623390785472626,0.6163160934966653,0.0678928377168909
0.78,0.009355699717970518,0.3066645523736817,0.6161096516440134,0.0678700962643344
0.79,0.009164251954451997,0.3070734516331748,0.61591377747399,0.06784851893838323
0.8,0.008982385432498548,0.30746157888802916,0.615727983627485,0.06782805205198733
0.81,0.008809674910525327,0.3078298908887679,0.6155517913362487,0.06780864286445823
0.8200000000000001,0.008645715075373794,0.30817929127151295,0.6153847517250204,0.06779024192809283
0.8300000000000001,0.00849010755683745,0.3085106662849415,0.6152264253266446,0.06777280083157651
0.84,0.008342469501387983,0.30882486066731646,0.6150763960883887,0.06775627374290695
0.85,0.00820243354238988,0.309122649862668,0.6149342964256536,0.06774062016928864
0.86,0.008069639082796351,0.30940484310282684,0.6147997222208885,0.06772579559348833
0.87,0.00794374758681348,0.3096719073992919,0.6146725577468047,0.06771178726708987
0.88,0.007824426701159825,0.30992436346012636,0.6145526333387312,0.06769857649998262
0.89,0.007711361285341392,0.3101620790995137,0.6144403519355826,0.06768620767956234
0.9,0.007604263212268212,0.31038050626505137,0.614340069831345,0.06767516069133543
0.91,0.007502827833388419,0.3105822078636682,0.6142497528506117,0.06766521145233176
0.92,0.0074068848848244245,0.31072822506293774,0.6142046473789177,0.06766024267332017
0.93,0.007316228619610694,0.3107876430131237,0.6142327859713959,0.0676633423958698
0.9400000000000001,0.007230884342694815,0.3106397879978781,0.6144428453117442,0.06768648234768296
0.9500000000000001,0.007152264504995347,0.30955754538680785,0.6154885174403493,0.06780167266784753
0.96,0.007082732758825264,0.3061904273766387,0.6185841545417046,0.06814268532283159
0.97,0.007028282846662183,0.29638881548391605,0.6274622168290162,0.06912068484040569
0.98,0.006989676574230377,0.27137772302397606,0.6500262784214612,0.07160632198033233
0.99,0.006942042503334663,0.22413356100491783,0.6926253935322576,0.07629900295948983
1.0,0.006838925291964553,0.16497455349859258,0.746007042809388,0.08217947840005498
