Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.3,341.9803577535639,1697.031228466696,1476.9330782348418,1278.7810106723398,1304.0323118623364,1344.1963893844456,23.548657753604527,31654.020727245235,-663.5738547884451,1884.9291499204069,1221.3552951319616,3084.3748654995466,4305.730160631509,4305.730160631509,25.497743750262934,30.821267564600905
0.31,342.23093683684107,1707.0856925725043,1485.41147322737,1286.1085314905254,1311.5704724528998,1351.9972736272139,23.60108968464517,31908.60890827163,-659.5772738303145,1855.1983779111438,1195.6211040808294,2985.4400825660005,4181.06118664683,4181.06118664683,24.62327721716134,30.823482166459097
0.32,342.4729364777557,1716.7992861079576,1493.6000003751728,1293.1853642238002,1318.8513500838985,1359.5290774017699,23.652174804283025,32155.819390212288,-654.9657560686895,1824.943836902849,1169.9780808341593,2889.909288442629,4059.8873692767884,4059.8873692767884,23.782309502778666,30.8255159500432
0.33,342.7066803270834,1726.1846477996296,1501.5095686041154,1300.0209536387129,1325.884597804373,1366.8019624601009,23.7019374828936,32395.854665725597,-649.731865195266,1794.1155199422606,1144.3836547469946,2797.400751999117,3941.7844067461115,3941.7844067461115,22.97129432197017,30.827380509870345
0.34,342.9324541576386,1735.252924949472,1509.1498084973994,1306.6236383956968,1332.6787359633215,1373.8249187337622,23.750398639829005,32628.889481257538,-643.872144905608,1762.6752272869617,1118.8030823813538,2707.6341301497205,3826.4372125310742,3826.4372125310742,22.187566313471777,30.829086640795534
0.35000000000000003,343.1505135499615,1744.0140782915325,1516.5293319405303,1313.0008756075626,1339.2413825763506,1380.6059962949528,23.79757547843244,32855.07540280555,-637.3876115657217,1730.5785745875844,1093.1909630218627,2620.3551125333083,3713.5460755551712,3713.5460755551712,21.42871296473203,30.830644324038612
0.36,343.3611034111372,1752.477663363218,1523.6563923503554,1319.1598115233592,1345.5798400782903,1387.1529212672958,23.84348443578024,33074.55908828386,-630.28298320874,1697.829553304971,1067.5465700962309,2535.342331282627,3602.888901378858,3602.888901378858,20.69262311257612,30.832063210047046
0.37,343.56443734742317,1760.651999300006,1530.5381863310038,1325.1066781421337,1351.7004739464746,1393.472444671817,23.888139153798893,33287.46366530469,-622.5675177887969,1664.4097627372278,1041.842244948431,2452.4376102567935,3494.2798552052245,3494.2798552052245,19.97773070245279,30.833352165203987
0.38,343.7607222770985,1768.5451558658735,1537.181686409583,1330.8475129279755,1357.6094529986508,1399.5711127541251,23.931552458474307,33493.909504240604,-614.2544124417399,1630.3349124835875,1016.0805000418476,2371.4796547228643,3387.560154764712,3387.560154764712,19.28246681032978,30.834519731792987
0.39,343.95014882847335,1776.1645658590803,1543.5933158832324,1336.387877899637,1363.312459984052,1405.4549675327767,23.973736515542097,33694.00707609056,-605.3607951635877,1595.629720808033,990.2689256444453,2292.3635498309122,3282.6324754753578,3282.6324754753578,18.605741363168622,30.835573996516427
