Position,Cl_CO2,Cl_MEA,Cl_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Cl_CO3_true,Cl_H3O_true,Cl_OH_true
0.39,1395.1553177514143,4538.016335109116,37245.80540709449,0.3677455872292427,2153.7608572716963,43227.7258306702,1660.7314105248217,1471.0758778265244,117.49845899017221,36.03851730256892,1.5799559784523296e-05,0.08005490254654878
0.4,1385.173398348961,4536.255787667043,37259.89549157439,0.3592983240430524,2170.456412816798,43197.982480350795,1646.564360586723,1460.525806598017,115.33432305558864,35.31163934900856,1.563560476906075e-05,0.08096787070543612
0.41000000000000003,1375.406745206107,4534.553283491308,37273.68778354002,0.35115753389958004,2186.8066145285525,43168.84556311592,1632.7458900159784,1450.1788237111625,113.25219981251719,34.61650590775205,1.547487601028012e-05,0.0818701516703117
0.42,1365.8596378233067,4532.907782751325,37287.17575520405,0.3433199621356012,2202.8023197344987,43140.33186187966,1619.2787284264225,1440.04204882872,111.25016441217932,33.95188483031117,1.5317542564162024e-05,0.08276084244273879
0.43,1356.5361828165896,4531.318263177727,37300.353099875596,0.33578185947193506,2218.4348058476153,43112.45736382279,1606.1654324545268,1430.122270087346,109.32632326576476,33.3166076109493,1.5163759260075507e-05,0.08363904327657666
0.44,1347.4399674483022,4529.783691043036,37313.214271867626,0.3285386715507783,2233.696375035826,43085.23627667285,1593.407907653195,1420.4255782780838,107.47874276854405,32.7095488623521,1.5013658375165287e-05,0.08450389552183041
0.45,1338.5740298184967,4528.303050497379,37325.75454354927,0.3215850268811733,2248.580432617862,43058.68095049504,1581.0073789410023,1410.9573364578812,105.70544784804655,32.12962745591244,1.4867347345130552e-05,0.08535459059687713
0.46,1329.941182833133,4526.8753107981665,37337.96947681402,0.31491538420626375,2263.08085204594,43032.80278725797,1568.9648351764183,1401.722529640415,104.00450789508804,31.575811016818335,1.4724924120063215e-05,0.0861903322026872
0.47000000000000003,1321.5433788096109,4525.4994234744,37349.85592118478,0.3085232694118183,2277.193135879178,43007.61043281437,1557.2801643620862,1392.7250878287007,102.37390028518706,31.047090211726825,1.4586457119540856e-05,0.08701041120155914
0.48,1313.3823350864707,4524.174343569699,37361.41104059573,0.30240213185817333,2290.9132781103895,42983.111574973176,1545.9530189184018,1383.9685595519418,100.81165370926962,30.542502985221276,1.4452005383407497e-05,0.08781413875296946
0.49,1305.4591179154004,4522.898988392021,37372.63294598301,0.2965449859208108,2304.2384826423713,42959.31174521449,1534.9822460136625,1375.4556700788678,99.31576632005381,30.06111152193182,1.4321609455855407e-05,0.08860089248644086
0.5,1297.7741520275817,4521.6722718079545,37383.52069691654,0.2909443989430129,2317.1671726455,42936.21436477072,1524.3659121237497,1367.188334988114,97.8842089652872,29.60200612182684,1.419528969180327e-05,0.08937012198459938
0.51,1290.3276154157882,4520.49308809195,37394.07367776474,0.28559307373568665,2329.6982414330982,42913.821883723554,1514.1018412526125,1359.1680902530748,96.51501358983482,29.16431508981318,1.4073061174910571e-05,0.09012130313775041
0.52,1283.118792989301,4519.360301802377,37404.29260297044,0.2804831364974877,2341.8322246258394,42892.13392692281,1504.1867406110146,1351.3954004345876,95.20614198492856,28.747179065257544,1.3954914744983621e-05,0.09085401589820649
0.53,1276.146741649718,4518.272779263152,37414.17849594029,0.2756068882979897,2353.5701019101957,42871.149232367636,1494.6171100972308,1343.8703807258119,93.95562140761801,28.34977696669018,1.3840836020705163e-05,0.09156787125660554
0.54,1269.4099088835535,4517.229351448268,37423.73326737427,0.270956477966122,2364.913955280234,42850.8645503875,1485.388723127198,1336.5923909279522,92.76147134636614,27.97130601445854,1.3730797122458683e-05,0.0922625547598882
0.55,1262.9061715249702,4516.22884882572,37432.959674353544,0.2665238862778142,2375.866926577547,42831.27477967656,1476.4966867245587,1329.5600818500031,91.62170814839938,27.610986261435535,1.362475549546831e-05,0.09293782804042582
0.56,1256.6331983897705,4515.270086805164,37441.860748597486,0.2623013847649277,2386.432531594576,42812.3740220664,1467.9359290887498,1322.7717934619627,90.5344174904736,27.26806908694058,1.352266667978614e-05,0.09359348509913379
0.5700000000000001,1250.5879316674393,4514.351865448304,37450.4406092831,0.25828097009247875,2396.6156071994396,42794.154097381106,1459.7005024059904,1316.224998360188,89.49765158936711,26.941818231883623,1.3424468810681792e-05,0.09422941713688564
0.58,1244.7671409335303,4513.472990539448,37458.70360981814,0.2544549273093939,2406.42131087522,42776.60616379113,1451.7843304053467,1309.9169072043455,88.50953269558534,26.631529143371804,1.3330098022914482e-05,0.09484554877036946
0.59,1239.1671444735784,4512.632249337892,37466.654764249404,0.25081558306372487,2415.85560404458,42759.71991717167,1444.1808301167603,1303.8441719463883,87.56819952445949,26.336515007311334,1.3239482171338246e-05,0.0954418707713935
0.6,1233.783860029702,4511.8284415175785,37474.29968704659,0.24735528556095854,2424.9251863341156,42743.483761385905,1436.8829830747002,1298.00294541819,86.67181106155066,26.05611065446553,1.3152540016208447e-05,0.09601843856830827
