Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.21,339.8009066035609,-83999.99999,-50890.86767781752,-46852.84590075579,-48664.58952828622,91.61503510159878,-4458408.077838838,-35691.763246323135,72668.04762484199,-1473.3137229363829,-4226.611817631467,-5699.92554056785,5699.92554056785,33.55906875953355,83.2837822358639
0.22,340.1299455426306,-83999.99999,-50832.973759202105,-46828.029384349604,-48625.5736569811,91.68163119286598,-4458071.910560881,-35412.879856381565,70978.0308579158,-1441.7997223391558,-4066.445795409708,-5508.245517748864,5508.245517748864,32.26460796887828,83.31115283636137
0.23,340.4464678231387,-83999.99999,-50777.25583588137,-46804.155719737544,-48587.72114537332,91.74636609762433,-4457746.8520527035,-35130.14115521359,69372.91678384523,-1411.606325390629,-3917.4398443460746,-5329.046169736704,5329.046169736704,31.053103204279687,83.33806583727464
0.24,340.7512545210369,-83999.99999,-50723.57936560355,-46781.16611348306,-48550.96651814205,91.80934026263718,-4457432.205144009,-34840.740394520704,67839.04715361354,-1382.5186517952213,-3778.1034985691617,-5160.622150364383,5160.622150364383,29.914326140105775,83.36453568462785
0.25,341.0449597144794,-83999.99999,-50671.83183319066,-46759.01133896599,-48515.25613190931,91.87063520229181,-4457127.397840391,-34542.26643568142,66362.93366056799,-1354.2937426120195,-3647.1409446774824,-5001.434687289502,5001.434687289502,28.838067405427747,83.390572318332
0.26,341.3282027537005,-83999.99999,-50621.90655201408,-46737.64477841161,-48480.539643583834,91.93032731116215,-4456831.877656434,-34232.46068055169,64935.88439027265,-1326.8134474203587,-3523.3897443150076,-4850.203191735366,4850.203191735366,27.818008375341496,83.41618452563853
0.27,341.60148507366534,-83999.99999,-50573.717365631,-46717.02869951102,-48446.77785822961,91.98847536371483,-4456545.231463119,-33909.45794329139,63547.72481198102,-1299.8882565390038,-3405.9963468228148,-4705.884603361818,4705.884603361818,26.84659188083616,83.4413764997838
0.28,341.86527613600737,-83999.99999,-50527.183540290476,-46697.12777388343,-48413.934558868394,92.04513326048432,-4456267.058135409,-33571.57375296324,62191.32453043558,-1273.406563511662,-3294.1110740106137,-4567.517637522275,4567.517637522275,25.918599955955756,83.46615145285651
0.29,342.1199889598613,-83999.99999,-50482.23410656263,-46677.910923949676,-48381.978925999676,92.10034648813647,-4455997.022866286,-33217.377461690565,60860.43651744726,-1247.2678068102878,-3187.094622420919,-4434.362429231207,4434.362429231207,25.029508494360694,83.49051034252213
0.3,342.36597897134334,-83999.99999,-50438.80809133154,-46659.35141083645,-48350.88553993935,92.1541518176785,-4455734.8465667665,-32845.714838489956,59548.78585005253,-1221.3552951319616,-3084.3748654995466,-4305.730160631509,4305.730160631509,24.174621595228,83.51445202482634
0.31,342.6035862374908,-83999.99999,-50396.84708494865,-46641.423648766846,-48320.63044092909,92.20658374871914,-4455480.257542436,-32455.600350240325,58252.60882673539,-1195.6211040808294,-2985.4400825660005,-4181.06118664683,4181.06118664683,23.35119123407316,83.53797486150718
0.32,342.8330973339222,-83999.99999,-50356.3019909472,-46624.10608274697,-48291.19467434138,92.257668868357,-4455233.047522752,-32046.33410262863,56967.310541939696,-1169.9780808341593,-2889.909288442629,-4059.8873692767884,4059.8873692767884,22.555688076290533,83.56107522849886
0.33,343.0547839204687,-83999.99999,-50317.12623032944,-46607.378278622775,-48262.56063734363,92.30743154696758,-4454993.012312969,-31617.403587717192,55689.968590232624,-1144.3836547469946,-2797.400751999117,-3941.7844067461115,3941.7844067461115,21.785788212404654,83.58374912484314
0.34,343.2688929231898,-83999.99999,-50279.277487249725,-46591.22166428782,-48234.71298575762,92.35589270390298,-4454759.977116187,-31168.51693170087,54418.184181757635,-1118.8030823813538,-2707.6341301497205,-3826.4372125310742,3826.4372125310742,21.039500163966824,83.60599176434788
0.35000000000000003,343.47564474150516,-83999.99999,-50242.71803796078,-46575.61966543087,-48207.63870643143,92.40306954250642,-4454533.791870408,-30699.614204932288,53149.49588742647,-1093.1909630218627,-2620.3551125333083,-3713.5460755551712,3713.5460755551712,20.314626137110928,83.62779768287143
0.36,343.675253534539,-83999.99999,-50207.41117351876,-46560.556175051366,-48181.32530911109,92.4489784998542,-4454314.307596493,-30210.81049782319,51883.01554681561,-1067.5465700962309,-2535.342331282627,-3602.888901378858,3602.888901378858,19.610123154049962,83.64916136368556
0.37,343.8679103139073,-83999.99999,-50173.32419718962,-46546.0168296009,-48155.76216850012,92.49363321787287,-4454101.4033403685,-29702.44631821079,50617.257066570535,-1041.842244948431,-2452.4376102567935,-3494.2798552052245,3494.2798552052245,18.9243443674892,83.67007697653027
0.38,344.0537992614382,-83999.99999,-50140.425545512946,-46531.987777840375,-48130.93917404763,92.53704652254827,-4453894.957522786,-29175.037162024993,49351.82671780743,-1016.0805000418476,-2371.4796547228643,-3387.560154764712,3387.560154764712,18.256381913555085,83.69053872033983
0.39,344.2330954613855,-83999.99999,-50108.685194699116,-46518.455852161096,-48106.84677081082,92.57923057961607,-4453694.859653153,-28629.27668481356,48086.64948210982,-990.2689256444453,-2292.3635498309122,-3282.6324754753578,3282.6324754753578,17.605489146160714,83.71054100987539
0.4,344.4059624360879,-83999.99999,-50078.07510219108,-46505.408754768236,-48083.47610864279,92.62019655751405,-4453501.008351026,-28066.035721520147,46821.495352874415,-964.4047498753495,-2214.9909927811073,-3179.3957426564566,3179.3957426564566,16.97066376751423,83.73007853029921
0.41000000000000003,344.57256206772206,-83999.99999,-50048.567454509204,-46492.83430901122,-48060.818338278375,92.65995572902527,-4453313.2995256,-27486.327993217925,45557.289425717056,-938.519496405943,-2139.284332956903,-3077.803829362846,3077.803829362846,16.351733137982237,83.74914622319847
0.42,344.73304789305706,-83999.99999,-50020.13585825093,-46480.720965587636,-48038.864779022144,92.69851941375708,-4453131.639333036,-26891.313167182205,44294.33336032071,-912.6197695226982,-2065.196597528474,-2977.816367051172,2977.816367051172,15.747936742524784,83.7677398217873
0.43,344.88757040528,-83999.99999,-49992.754404704465,-46469.05740250941,-48017.60683275903,92.73589885606177,-4452955.930552882,-26282.275612637106,43033.7286087034,-886.7354824699363,-1992.674869605875,-2879.4103520758113,2879.4103520758113,15.1590525052188,83.78585534552374
0.44,345.0362785428215,-83999.99999,-49966.39740887425,-46457.83241282053,-47997.03555025775,92.77210616756219,-4452786.077796768,-25660.6023083833,41776.72356720239,-860.8986610117203,-1921.7004279144671,-2782.5990889261875,2782.5990889261875,14.584922627302724,83.8034896591739
0.45,345.17931646793903,-83999.99999,-49941.039983160415,-46447.035147855044,-47977.14187586043,92.80715384531308,-4452621.987131392,-25027.773870544464,40524.26474702154,-835.1284788172352,-1852.2489324973546,-2687.37741131459,2687.37741131459,14.025071973439013,83.82064045342034
0.46,345.31682877538873,-83999.99999,-49916.657116717746,-46436.65472415932,-47957.91649877889,92.84105492958693,-4452463.559971674,-24385.346498452902,39278.22477029432,-809.4733562445278,-1784.3100081428802,-2593.7833643874083,2593.7833643874083,13.479717081614249,83.83730584559963
0.47000000000000003,345.44895800281466,-83999.99999,-49893.224119005004,-46426.680411497604,-47939.349496613104,92.87382383310458,-4452310.699822077,-23734.921355984327,38039.73315169259,-783.9550126118527,-1717.8854556534268,-2501.8404682652795,2501.8404682652795,12.94845702860102,83.85348531349607
0.48,345.57584510878837,-83999.99999,-49870.716537327135,-46417.101596852066,-47921.430852880774,92.90547520143022,-4452163.305719368,-23078.148538904486,36810.52459301136,-758.6142409058589,-1652.9685000086563,-2411.582740914515,2411.582740914515,12.431329899718525,83.86917872994069
0.49,345.6976322487734,-83999.99999,-49849.10966647273,-46407.907574938756,-47904.14985322878,92.93602513351192,-4452021.274759191,-22416.689247259368,35592.3345762938,-733.491237801601,-1589.5738820354052,-2323.065119837006,2323.065119837006,11.928383303146381,83.88438706401564
0.5,345.8144590732194,-83999.99999,-49828.379207337224,-46399.0878277426,-47887.495405702466,92.96549057349014,-4451884.5027268855,-21752.20621491063,34386.46335909337,-708.6107585336522,-1527.703229261237,-2236.3139877948893,2236.3139877948893,11.439308395039319,83.89911228840634
0.51,345.92646617992455,-83999.99999,-49808.500656353375,-46390.63176396576,-47871.456102355325,92.99388911201031,-4451752.8804129,-21086.36078775989,33194.96322992395,-684.0230420547978,-1467.3678165301055,-2151.390858584903,2151.390858584903,10.9644049423934,83.91335683101138
0.52,346.0337935372557,-83999.99999,-49789.4495870134,-46382.5288381333,-47856.01977658491,93.02123994257347,-4451626.2983342465,-20420.766526293308,32019.06247233352,-659.7505144563343,-1408.5805517184774,-2068.331066174812,2068.331066174812,10.503356940712882,83.9271245481211
0.53,346.1365797922532,-83999.99999,-49771.20177450612,-46374.768602904944,-47841.174154233835,93.04756251268289,-4451504.642796221,-19757.01287239447,30860.43711926718,-635.8311168784967,-1351.3443854946515,-1987.1755023731482,1987.1755023731482,10.056217506909274,83.94041966966383
0.54,346.2349647651202,-83999.99999,-49753.7327545927,-46367.34052081684,-47826.90630433342,93.07287762847248,-4451387.797811643,-19096.624934465453,29720.666049562526,-612.3004067112415,-1295.6760246956208,-1907.9764314068623,1907.9764314068623,9.623024765633303,83.9532474422615
0.55,346.3290857646362,-83999.99999,-49737.01847941901,-46360.234242535764,-47813.20298428071,93.09720680485009,-4451275.646229857,-18441.059219582763,28600.831375892998,-589.1776584753061,-1241.5761242734554,-1830.7537827487615,1830.7537827487615,9.203464991649206,83.9656139900038
0.56,346.41908070576983,-83999.99999,-49721.03476562041,-46353.439371552144,-47800.05070097291,93.12057207983285,-4451168.066719613,-17791.711943829872,27502.607497346144,-566.5036266280074,-1189.052001255677,-1755.5556278836843,1755.5556278836843,8.79774898814084,83.97752581031492
