check,state,item,exact,reference,defect,criterion,status
N4,S1@-0.2,dt/de_MEA:hydroxide-anion,0.1319359240988315,0.1319359240088079,6.82328185449106e-10,5e-05,pass
N4,S1@-0.2,control: dt/de_MEA:carbon-dioxide set to zero,0.0,-0.24670924291814766,1.0,5e-05,control-fails
N4,S1@-0.2,dt/de_H2O:carbon-dioxide,-0.005397364664259669,-0.005397364664908613,1.2023357326044738e-10,5e-05,pass
N4,S1@-0.2,dt/de_H2O:monoethanolamine,0.002416702040597003,0.0024167020403748876,9.190843189415595e-11,5e-05,pass
N4,S1@-0.2,dt/de_H2O:water,-0.00046264640484447293,-0.00046264640467003564,3.7704234963164386e-10,5e-05,pass
N4,S1@-0.2,dt/de_H2O:protonated-monoethanolamine,-0.0005920760760180121,-0.0005920760759719894,7.7730969655213e-11,5e-05,pass
N4,S1@-0.2,dt/de_H2O:carbamate-anion,2.8115492952345482e-05,2.8115491789929917e-05,4.134430675335549e-08,5e-05,pass
N4,S1@-0.2,dt/de_H2O:bicarbonate-anion,-0.002851232952489116,-0.00285123295324708,2.6583727688680967e-10,5e-05,pass
N4,S1@-0.2,dt/de_H2O:carbonate-anion,0.0001575451641258852,0.00015754516308840239,6.585304108997844e-09,5e-05,pass
N4,S1@-0.2,dt/de_H2O:hydronium-cation,-0.0034714245214594657,-0.003471424521002894,1.3152290752108e-10,5e-05,pass
N4,S1@-0.2,dt/de_H2O:hydroxide-anion,0.002546131711770538,0.0025461317116633603,4.209433512940791e-11,5e-05,pass
N4,S1@-0.2,control: dt/de_H2O:carbon-dioxide set to zero,0.0,-0.005397364664908613,1.0,5e-05,control-fails
N5,S1@-0.2 q=0.000,M charge = 0,4.5258812348968105e-22,0.0,4.5258812348968105e-22,1e-12,pass
N5,S1@-0.2 q=0.000,M MEA = 0,7.757846458818724e-22,0.0,7.757846458818724e-22,1e-12,pass
N5,S1@-0.2 q=0.000,M water = 0,3.1201511199441627e-22,0.0,3.1201511199441627e-22,1e-12,pass
N5,S1@-0.2 q=0.000,M total = 0,1.0748066552181727e-21,0.0,1.0748066552181727e-21,1e-12,pass
N5,S1@-0.2 q=0.000,t^T M t >= 0,5.287903742736503e-06,0.0,,,pass
N5,S1@-0.2 q=0.000,g > 0,1.2458702400087046e-06,0.0,,,pass
N5,S1@-0.2 q=0.125,M charge = 0,4.3077853779399755e-22,0.0,4.3077853779399755e-22,1e-12,pass
N5,S1@-0.2 q=0.125,M MEA = 0,8.393770332364687e-22,0.0,8.393770332364687e-22,1e-12,pass
N5,S1@-0.2 q=0.125,M water = 0,7.734476927441049e-22,0.0,7.734476927441048e-22,1e-12,pass
N5,S1@-0.2 q=0.125,M total = 0,1.3375120303201345e-21,0.0,1.3375120303201343e-21,1e-12,pass
N5,S1@-0.2 q=0.125,t^T M t >= 0,5.000598589615029e-06,0.0,,,pass
N5,S1@-0.2 q=0.125,g > 0,1.207437834282456e-06,0.0,,,pass
N5,S1@-0.2 q=0.250,M charge = 0,6.075900093143411e-22,0.0,6.075900093143411e-22,1e-12,pass
N5,S1@-0.2 q=0.250,M MEA = 0,1.0901599287305141e-21,0.0,1.0901599287305141e-21,1e-12,pass
N5,S1@-0.2 q=0.250,M water = 0,1.0930933300946838e-21,0.0,1.0930933300946838e-21,1e-12,pass
N5,S1@-0.2 q=0.250,M total = 0,1.6007989778071562e-21,0.0,1.6007989778071562e-21,1e-12,pass
N5,S1@-0.2 q=0.250,t^T M t >= 0,4.731809755642447e-06,0.0,,,pass
N5,S1@-0.2 q=0.250,g > 0,1.1700856239765264e-06,0.0,,,pass
N5,S1@-0.2 q=0.375,M charge = 0,3.44656434447583e-22,0.0,3.44656434447583e-22,1e-12,pass
N5,S1@-0.2 q=0.375,M MEA = 0,1.0587911840678754e-21,0.0,1.0587911840678754e-21,1e-12,pass
N5,S1@-0.2 q=0.375,M water = 0,7.081441525278185e-22,0.0,7.081441525278185e-22,1e-12,pass
N5,S1@-0.2 q=0.375,M total = 0,1.2507746343626047e-21,0.0,1.2507746343626047e-21,1e-12,pass
N5,S1@-0.2 q=0.375,t^T M t >= 0,4.480189757231473e-06,0.0,,,pass
N5,S1@-0.2 q=0.375,g > 0,1.1338075244511596e-06,0.0,,,pass
N5,S1@-0.2 q=0.500,M charge = 0,2.956003596747598e-22,0.0,2.956003596747598e-22,1e-12,pass
N5,S1@-0.2 q=0.500,M MEA = 0,8.74751752415339e-22,0.0,8.74751752415339e-22,1e-12,pass
N5,S1@-0.2 q=0.500,M water = 0,1.889441569661211e-21,0.0,1.889441569661211e-21,1e-12,pass
N5,S1@-0.2 q=0.500,M total = 0,2.1414180558810665e-21,0.0,2.1414180558810665e-21,1e-12,pass
N5,S1@-0.2 q=0.500,t^T M t >= 0,4.24449593914853e-06,0.0,,,pass
N5,S1@-0.2 q=0.500,g > 0,1.0985936039881926e-06,0.0,,,pass
N5,S1@-0.2 q=0.625,M charge = 0,3.3606797324380978e-22,0.0,3.3606797324380978e-22,1e-12,pass
N5,S1@-0.2 q=0.625,M MEA = 0,6.639924785650379e-22,0.0,6.639924785650379e-22,1e-12,pass
N5,S1@-0.2 q=0.625,M water = 0,1.3384782659746898e-21,0.0,1.3384782659746898e-21,1e-12,pass
N5,S1@-0.2 q=0.625,M total = 0,1.9864225422578114e-21,0.0,1.9864225422578114e-21,1e-12,pass
N5,S1@-0.2 q=0.625,t^T M t >= 0,4.0235827830703146e-06,0.0,,,pass
N5,S1@-0.2 q=0.625,g > 0,1.0644307263743096e-06,0.0,,,pass
N5,S1@-0.2 q=0.750,M charge = 0,7.013766461380473e-22,0.0,7.013766461380473e-22,1e-12,pass
N5,S1@-0.2 q=0.750,M MEA = 0,7.940933880509066e-22,0.0,7.940933880509066e-22,1e-12,pass
N5,S1@-0.2 q=0.750,M water = 0,1.6215300308234105e-21,0.0,1.6215300308234105e-21,1e-12,pass
N5,S1@-0.2 q=0.750,M total = 0,6.0652856856737365e-22,0.0,6.0652856856737365e-22,1e-12,pass
N5,S1@-0.2 q=0.750,t^T M t >= 0,3.8163944649243576e-06,0.0,,,pass
N5,S1@-0.2 q=0.750,g > 0,1.0313031054707105e-06,0.0,,,pass
N5,S1@-0.2 q=0.875,M charge = 0,8.536803158040196e-22,0.0,8.536803158040196e-22,1e-12,pass
N5,S1@-0.2 q=0.875,M MEA = 0,1.0587911840678754e-21,0.0,1.0587911840678754e-21,1e-12,pass
N5,S1@-0.2 q=0.875,M water = 0,4.040570497168402e-21,0.0,4.040570497168402e-21,1e-12,pass
N5,S1@-0.2 q=0.875,M total = 0,4.5842931159056995e-22,0.0,4.5842931159056995e-22,1e-12,pass
N5,S1@-0.2 q=0.875,t^T M t >= 0,3.6219577761950128e-06,0.0,,,pass
N5,S1@-0.2 q=0.875,g > 0,9.991927840133166e-07,0.0,,,pass
N5,S1@-0.2 q=1.000,M charge = 0,2.426741122077445e-22,0.0,2.426741122077445e-22,1e-12,pass
N5,S1@-0.2 q=1.000,M MEA = 0,1.9438489561369328e-21,0.0,1.9438489561369328e-21,1e-12,pass
N5,S1@-0.2 q=1.000,M water = 0,1.1411486646793662e-21,0.0,1.1411486646793662e-21,1e-12,pass
N5,S1@-0.2 q=1.000,M total = 0,1.3733700957946263e-21,0.0,1.3733700957946265e-21,1e-12,pass
N5,S1@-0.2 q=1.000,t^T M t >= 0,3.4393754719439675e-06,0.0,,,pass
N5,S1@-0.2 q=1.000,g > 0,9.68080047024469e-07,0.0,,,pass
N2,S1@0,sum x_i D ln a_i[v] / (1e-12 scale); central_residual 2.45e-14 floor 1.82e-10,2.812335732132673e-16,0.0,2.812335732132673e-16,1e-12,pass
N2,S1@0,control: ionic terms dropped [v],-0.049951259586537705,0.0,0.049951259586537705,1e-12,control-fails
N2,S1@0,sum x_i D ln a_i[e_MEA] / (1e-12 scale); central_residual 2.45e-14 floor 1.82e-10,1.443223439926344e-16,0.0,1.443223439926344e-16,1e-12,pass
N2,S1@0,control: ionic terms dropped [e_MEA],0.0013996954595895152,0.0,0.0013996954595895152,1e-12,control-fails
N2,S1@0,sum x_i D ln a_i[e_H2O] / (1e-12 scale); central_residual 2.45e-14 floor 1.82e-10,-3.8175913899094225e-17,0.0,3.8175913899094225e-17,1e-12,pass
N2,S1@0,control: ionic terms dropped [e_H2O],0.00047201216945447536,0.0,0.00047201216945447536,1e-12,control-fails
N3,S1@0,t:carbon-dioxide,4.24434549676663,4.244345494946271,4.288903851149242e-10,5e-06,pass
N3,S1@0,t:monoethanolamine,-1.2576801718608603,-1.257680170511355,1.0730115863423395e-09,5e-06,pass
N3,S1@0,t:water,0.024848481187528897,0.02484848119156761,1.6253362838130768e-10,5e-06,pass
N3,S1@0,t:protonated-monoethanolamine,0.9020816778153227,0.9020816779496954,1.489585017029136e-10,5e-06,pass
N3,S1@0,t:carbamate-anion,0.8269034752295896,0.82690347598439,9.128034350663426e-10,5e-06,pass
N3,S1@0,t:bicarbonate-anion,2.1094321282779758,2.1094321276801034,2.8342813699718374e-10,5e-06,pass
N3,S1@0,t:carbonate-anion,-0.05032972139820546,-0.05032972080698528,1.1746939333186182e-08,5e-06,pass
N3,S1@0,t:hydronium-cation,2.1846103308637095,2.18461032962504,5.669979647288529e-10,5e-06,pass
N3,S1@0,t:hydroxide-anion,-2.134913368488654,-2.1349133672747675,5.685880948183768e-10,5e-06,pass
N3,S1@0,control: t:carbon-dioxide set to zero,0.0,4.244345494946271,1.0,5e-06,control-fails
N4,S1@0,dt/de_T:carbon-dioxide,0.00033703060296212016,0.0003370306034100601,1.3290778699730392e-09,5e-05,pass
N4,S1@0,dt/de_T:monoethanolamine,0.001270331886985437,0.0012703318869650149,1.607613910204167e-11,5e-05,pass
N4,S1@0,dt/de_T:water,-0.00017121339103786808,-0.0001712133910510121,7.676985311630437e-11,5e-05,pass
N4,S1@0,dt/de_T:protonated-monoethanolamine,-0.0013349407083955115,-0.0013349407084308391,2.6463829715548704e-11,5e-05,pass
N4,S1@0,dt/de_T:carbamate-anion,0.0042126350853287295,0.004212635085750575,1.0013820553939311e-10,5e-05,pass
N4,S1@0,dt/de_T:bicarbonate-anion,0.00277108980730539,0.0027710898077356236,1.5525788394354824e-10,5e-05,pass
N4,S1@0,dt/de_T:carbonate-anion,0.005376362402686216,0.005376362403120884,8.084795890985986e-11,5e-05,pass
N4,S1@0,dt/de_T:hydronium-cation,-0.0027764859864189396,-0.002776485986457633,1.393611961351857e-11,5e-05,pass
N4,S1@0,dt/de_T:hydroxide-anion,0.0024340592043431584,0.0024340592043388862,1.7551710463077051e-12,5e-05,pass
N4,S1@0,control: dt/de_T:carbonate-anion set to zero,0.0,0.005376362403120884,1.0,5e-05,control-fails
N4,S1@0,dt/de_P:carbon-dioxide,3.0434880807909935e-09,3.0434882503094235e-09,5.5698729917129474e-08,5e-05,pass
N4,S1@0,dt/de_P:monoethanolamine,-7.887941651570293e-10,-7.887942377049484e-10,9.197318588689067e-08,5e-05,pass
N4,S1@0,dt/de_P:water,3.529221465137569e-12,3.529210271825215e-12,3.1716095077548064e-06,5e-05,pass
N4,S1@0,dt/de_P:protonated-monoethanolamine,2.8244977979894925e-10,2.824497504401909e-10,1.039432863780371e-07,5e-05,pass
N4,S1@0,dt/de_P:carbamate-anion,1.1834499706759207e-09,1.1834501182731809e-09,1.2471777045150155e-07,5e-05,pass
N4,S1@0,dt/de_P:bicarbonate-anion,1.9757733572942866e-09,1.975773542920815e-09,9.39513179913099e-08,5e-05,pass
N4,S1@0,dt/de_P:carbonate-anion,9.045294123424375e-10,9.04529586602069e-10,1.9265221847098496e-07,5e-05,pass
N4,S1@0,dt/de_P:hydronium-cation,1.0747731664181912e-09,1.074773154548699e-09,1.1043718339354707e-08,5e-05,pass
N4,S1@0,dt/de_P:hydroxide-anion,-1.0677147234822535e-09,-1.0677147366244811e-09,1.2308744208787994e-08,5e-05,pass
N4,S1@0,control: dt/de_P:carbon-dioxide set to zero,0.0,3.0434882503094235e-09,1.0,5e-05,control-fails
N4,S1@0,dt/de_CO2:carbon-dioxide,1.7374007214503715,1.737400721483015,1.8788666943789313e-11,5e-05,pass
N4,S1@0,dt/de_CO2:monoethanolamine,-0.8941062311102901,-0.8941062311129387,2.9623538878051634e-12,5e-05,pass
N4,S1@0,dt/de_CO2:water,0.0029717478338849024,0.00297174783431969,1.4630703774750427e-10,5e-05,pass
N4,S1@0,dt/de_CO2:protonated-monoethanolamine,0.0462364291490997,0.04623642915716278,1.7438799081260677e-10,5e-05,pass
N4,S1@0,dt/de_CO2:carbamate-anion,-0.09704816991931381,-0.09704816990023207,1.966212882427827e-10,5e-05,pass
N4,S1@0,dt/de_CO2:bicarbonate-anion,0.8000298090248608,0.8000298090471182,2.7820736026433347e-11,5e-05,pass
N4,S1@0,dt/de_CO2:carbonate-anion,-0.14031285123452925,-0.14031285122309892,8.146316467119907e-11,5e-05,pass
N4,S1@0,dt/de_CO2:hydronium-cation,0.9433144080932744,0.9433144081044035,1.1797866700468923e-11,5e-05,pass
N4,S1@0,dt/de_CO2:hydroxide-anion,-0.9373709124255066,-0.9373709124358299,1.1013034045774556e-11,5e-05,pass
N4,S1@0,control: dt/de_CO2:carbon-dioxide set to zero,0.0,1.737400721483015,1.0,5e-05,control-fails
N4,S1@0,control: chain term D ln a[e_CO2] omitted,,,1.4102239239903938,5e-05,control-fails
N4,S1@0,dt/de_MEA:carbon-dioxide,-0.3770361443923372,-0.37703614407999936,8.284028651307631e-10,5e-05,pass
N4,S1@0,dt/de_MEA:monoethanolamine,0.1965528138390831,0.19655281363202884,1.0534281274332423e-09,5e-05,pass
N4,S1@0,dt/de_MEA:water,0.0034093470012181376,0.0034093470004938724,2.1243518643248675e-10,5e-05,pass
N4,S1@0,dt/de_MEA:protonated-monoethanolamine,-0.003899238601625078,-0.0038992386159800545,3.6814819052410935e-09,5e-05,pass
N4,S1@0,dt/de_MEA:carbamate-anion,0.019968721887454955,0.019968721799641737,4.397538259943982e-09,5e-05,pass
N4,S1@0,dt/de_MEA:bicarbonate-anion,-0.17317474495041002,-0.17317474483181103,6.848515456018497e-10,5e-05,pass
N4,S1@0,dt/de_MEA:carbonate-anion,0.0272773074902982,0.027277307416026724,2.7228301185422426e-09,5e-05,pass
N4,S1@0,dt/de_MEA:hydronium-cation,-0.19704270543949026,-0.19704270524737155,9.750105156199835e-10,5e-05,pass
N4,S1@0,dt/de_MEA:hydroxide-anion,0.20386139944192672,0.20386139924824767,9.500525629388235e-10,5e-05,pass
N4,S1@0,control: dt/de_MEA:carbon-dioxide set to zero,0.0,-0.37703614407999936,1.0,5e-05,control-fails
N4,S1@0,dt/de_H2O:carbon-dioxide,-0.007244208980824001,-0.007244208982060101,1.706328140551435e-10,5e-05,pass
N4,S1@0,dt/de_H2O:monoethanolamine,0.0034093470012184646,0.003409347000902956,9.254219940998065e-11,5e-05,pass
N4,S1@0,dt/de_H2O:water,-0.0005248280727433373,-0.0005248280724575547,5.44526081326163e-10,5e-05,pass
N4,S1@0,dt/de_H2O:protonated-monoethanolamine,-0.0009681693506089868,-0.0009681693504807546,1.324480771120989e-10,5e-05,pass
N4,S1@0,dt/de_H2O:carbamate-anion,0.0005426543722217929,0.0005426543701985363,3.728444428495919e-09,5e-05,pass
N4,S1@0,dt/de_H2O:bicarbonate-anion,-0.0033915207017399464,-0.003391520703154636,4.171254342479452e-10,5e-05,pass
N4,S1@0,dt/de_H2O:carbonate-anion,0.000985995650087432,0.000985995648219699,1.8942608566790743e-09,5e-05,pass
N4,S1@0,dt/de_H2O:hydronium-cation,-0.004902344424570726,-0.004902344423832244,1.506385778124612e-10,5e-05,pass
N4,S1@0,dt/de_H2O:hydroxide-anion,0.0038526882790840497,0.0038526882789114265,4.48059090047197e-11,5e-05,pass
N4,S1@0,control: dt/de_H2O:carbon-dioxide set to zero,0.0,-0.007244208982060101,1.0,5e-05,control-fails
N5,S1@0 q=0.000,M charge = 0,4.5258812348968105e-22,0.0,4.5258812348968105e-22,1e-12,pass
N5,S1@0 q=0.000,M MEA = 0,7.757846458818724e-22,0.0,7.757846458818724e-22,1e-12,pass
N5,S1@0 q=0.000,M water = 0,3.1201511199441627e-22,0.0,3.1201511199441627e-22,1e-12,pass
N5,S1@0 q=0.000,M total = 0,1.0748066552181727e-21,0.0,1.0748066552181727e-21,1e-12,pass
N5,S1@0 q=0.000,t^T M t >= 0,5.287903742736503e-06,0.0,,,pass
N5,S1@0 q=0.000,g > 0,1.2458702400087046e-06,0.0,,,pass
N2,S1@0.05,sum x_i D ln a_i[v] / (1e-12 scale); central_residual 4.88e-14 floor 1.83e-10,1.8266993955873626e-15,0.0,1.8266993955873626e-15,1e-12,pass
N2,S1@0.05,control: ionic terms dropped [v],-0.05253145232877286,0.0,0.05253145232877286,1e-12,control-fails
N2,S1@0.05,sum x_i D ln a_i[e_MEA] / (1e-12 scale); central_residual 4.88e-14 floor 1.83e-10,-9.313755118233184e-16,0.0,9.313755118233184e-16,1e-12,pass
N2,S1@0.05,control: ionic terms dropped [e_MEA],0.001477328764642306,0.0,0.001477328764642306,1e-12,control-fails
N2,S1@0.05,sum x_i D ln a_i[e_H2O] / (1e-12 scale); central_residual 4.88e-14 floor 1.83e-10,6.751768113118747e-17,0.0,6.751768113118747e-17,1e-12,pass
N2,S1@0.05,control: ionic terms dropped [e_H2O],0.0004957195010992867,0.0,0.0004957195010992867,1e-12,control-fails
N3,S1@0.05,t:carbon-dioxide,4.467669585694228,4.46766958362604,4.629232864307725e-10,5e-06,pass
N3,S1@0.05,t:monoethanolamine,-1.3732652040111781,-1.373265202360659,1.201893887606204e-09,5e-06,pass
N3,S1@0.05,t:water,0.025163006585687875,0.025163006588198773,9.978528324610472e-11,5e-06,pass
N3,S1@0.05,t:protonated-monoethanolamine,0.907765823538252,0.9077658237562977,2.402003764697484e-10,5e-06,pass
N3,S1@0.05,t:carbamate-anion,0.8133733541336132,0.8133733551825154,1.2895703807422746e-09,5e-06,pass
N3,S1@0.05,t:bicarbonate-anion,2.211801564730484,2.2118015641301745,2.714120422898959e-10,5e-06,pass
N3,S1@0.05,t:carbonate-anion,-0.0692294628189496,-0.06922946193791783,1.2726254481260974e-08,5e-06,pass
N3,S1@0.05,t:hydronium-cation,2.306194034135121,2.3061940326840613,6.292010539227776e-10,5e-06,pass
N3,S1@0.05,t:hydroxide-anion,-2.2558680209637454,-2.255868019499966,6.488763111910306e-10,5e-06,pass
N3,S1@0.05,control: t:carbon-dioxide set to zero,0.0,4.46766958362604,1.0,5e-06,control-fails
N4,S1@0.05,dt/de_T:carbon-dioxide,8.647342013453797e-05,8.64734205870595e-05,5.233070710188275e-09,5e-05,pass
N4,S1@0.05,dt/de_T:monoethanolamine,0.001511539430291462,0.001511539430364417,4.826528406658133e-11,5e-05,pass
N4,S1@0.05,dt/de_T:water,-0.00019392362675404838,-0.0001939236267345408,1.0059418354602906e-10,5e-05,pass
N4,S1@0.05,dt/de_T:protonated-monoethanolamine,-0.0014835901833084094,-0.001483590183374665,4.465896007068485e-11,5e-05,pass
N4,S1@0.05,dt/de_T:carbamate-anion,0.0045931424640258825,0.004593142464645594,1.3492108114787886e-10,5e-05,pass
N4,S1@0.05,dt/de_T:bicarbonate-anion,0.002887679406980283,0.0028876794075682888,2.0362571101342528e-10,5e-05,pass
N4,S1@0.05,dt/de_T:carbonate-anion,0.005882809020580483,0.005882809021283871,1.1956666725684827e-10,5e-05,pass
N4,S1@0.05,dt/de_T:hydronium-cation,-0.0031890532403539198,-0.0031890532404665883,3.532978177082211e-11,5e-05,pass
