Position,Nl_H2O,Nv_H2O,kv_H2O,a_eA,DF_H2O,fv_H2O,fl_H2O,P_sat_H2O
0.26,-1.3548951246491931,1.3548951246491931,3.8711207673930017e-05,73.80967331765788,-474.1935874454357,24699.47257293131,25173.666160376746,28416.77101125191
0.27,-1.3281702814171763,1.3281702814171763,3.878311975010745e-05,73.82554376568172,-463.87862667843365,25016.89803432535,25480.776661003783,28757.27710241889
0.28,-1.3021796003781285,1.3021796003781285,3.885318061859153e-05,73.84095928449223,-453.8862018871987,25326.873062806357,25780.759264693555,29089.759217994942
0.29,-1.2767883123349097,1.2767883123349097,3.89214613351182e-05,73.85593559993745,-444.16502376366043,25629.64114772179,26073.806171485452,29414.4397701258
0.3,-1.251860094502284,1.251860094502284,3.8988020712808943e-05,73.87048608366568,-434.6639784622166,25925.401270436218,26360.065248898434,29731.491240415668
0.31,-1.227309084050727,1.227309084050727,3.905291406368734e-05,73.8846235809467,-425.3500007223083,26214.335824719492,26639.6858254418,30041.087486638215
0.32,-1.2030315508488574,1.2030315508488574,3.9116185057155434e-05,73.89835868034751,-416.18433799749255,26496.586260801585,26912.770598799078,30343.34994224716
0.33,-1.1789570249575494,1.1789570249575494,3.9177874049337926e-05,73.9117014583874,-407.14012811192515,26772.279783412687,27179.419911524612,30638.39717667476
0.34,-1.1550248999864,1.1550248999864,3.9238015775823715e-05,73.9246609786322,-398.19423479933903,27041.52278901326,27439.7170238126,30926.328439444384
0.35000000000000003,-1.1311731997639027,1.1311731997639027,3.9296639166067503e-05,73.93724524110324,-389.3233327770795,27304.401378433417,27693.724711210496,31207.219847166398
0.36,-1.1073704857083906,1.1073704857083906,3.935377160010069e-05,73.94946206320043,-380.5148098200989,27560.994246972583,27941.50905679268,31481.15103112031
0.37,-1.0835740904398372,1.0835740904398372,3.9409435341008395e-05,73.96131831636892,-371.7523786723541,27811.363628630963,28183.116007303317,31748.17887396981
0.38,-1.0597624237801024,1.0597624237801024,3.9463651141926597e-05,73.97282066867326,-363.0271231868319,28055.565446553883,28418.592569740715,32008.361262719525
0.39,-1.0359203838212954,1.0359203838212954,3.951643768606625e-05,73.983975452391,-354.33245050352343,28293.648993793035,28647.981444296558,32261.75105373817
0.4,-1.0120309432134824,1.0120309432134824,3.956781134238945e-05,73.99478859655692,-345.6611968500001,28525.65696199567,28871.318158845672,32508.392852528363
0.41000000000000003,-0.988098786133788,0.988098786133788,3.961778806535852e-05,74.00526601049863,-337.0136701415686,28751.62976319025,29088.643433331818,32748.33690015461
0.42,-0.9641186762125848,0.9641186762125848,3.9666382396358776e-05,74.0154133558517,-328.38683092963765,28971.606017777,29299.99284870664,32981.6274028207
0.43,-0.940100673420396,0.940100673420396,3.97136083775695e-05,74.02523622471973,-319.78288256054657,29185.622357771023,29505.40524033157,33208.31203051915
0.44,-0.9160586613196384,0.9160586613196384,3.975948005734929e-05,74.03474022727706,-311.2053339505874,29393.71731451718,29704.922648467767,33428.441778101056
0.45,-0.8920026967825904,0.8920026967825904,3.9804011116696024e-05,74.04393089596144,-302.6563998035999,29595.930717172992,29898.587116976592,33642.067372446945
0.46,-0.8679601750369538,0.8679601750369538,3.9847215485972334e-05,74.05281380639585,-294.14417687140667,29792.30293000955,30086.447106880958,33849.2465419074
0.47000000000000003,-0.8439470618540473,0.8439470618540473,3.9889107709694696e-05,74.06139462619015,-285.67287013552414,29982.880825198452,30268.553695333976,34050.03958605707
0.48,-0.8199911737533457,0.8199911737533457,3.992970236286312e-05,74.06967899273653,-277.25069423008244,30167.71143320512,30444.962127435203,34244.51128870821
0.49,-0.796121649053836,0.796121649053836,3.996901510018548e-05,74.07767271072446,-268.8862891180106,30346.848078348507,30615.734367466517,34432.733654102
0.5,-0.7723613756862757,0.7723613756862757,4.000706213482654e-05,74.08538162929793,-260.586170905186,30520.349117176193,30780.93528808138,34614.7816421691
0.51,-0.7487476983367659,0.7487476983367659,4.004386023765089e-05,74.0928116460218,-252.36172533932768,30688.274623286325,30940.636348625652,34790.73740634425
0.52,-0.7253045374836332,0.7253045374836332,4.0079427612029546e-05,74.09996885530245,-244.21979275577542,30850.69440220312,31094.914194958896,34960.68852284297
